video,perc_stair,perc_ledge,perc_manual,perc_transition,perc_handrail,perc_curb,perc_flat,perc_distinct,perc_slowmo,perc_switch,perc_fs,perc_bs,perc_flannel
Authentic_Hi,0.0,47.0,0.0,0.0,0.0,0.0,20.0,93.0,7.0,20.0,13.0,60.0,40.0
DOUBLE_A,15.0,30.0,0.0,0.0,0.0,0.0,5.0,89.0,0.0,28.0,6.0,28.0,17.0
Boys_of_Summer_Leftovers,2.0,29.0,0.0,9.0,0.0,2.0,27.0,74.0,0.0,13.0,26.0,28.0,22.0
Hockey_III,6.0,21.0,0.0,29.0,3.0,0.0,18.0,97.0,3.0,24.0,21.0,38.0,3.0
522_on_411,29.0,21.0,0.0,2.0,12.0,0.0,10.0,88.0,12.0,36.0,30.0,26.0,38.0
Boys_of_Summer,3.0,62.0,0.0,3.0,0.0,12.0,21.0,91.0,0.0,38.0,38.0,50.0,6.0
Welcome_to_Anti_Hero,9.0,14.0,0.0,25.0,4.0,0.0,12.0,77.0,0.0,21.0,26.0,28.0,19.0
Hockey_II,8.0,28.0,0.0,25.0,2.0,2.0,18.0,95.0,3.0,38.0,31.0,33.0,23.0
Propeller,7.0,14.0,0.0,32.0,7.0,0.0,7.0,100.0,0.0,63.0,26.0,52.0,30.0
Prevent_This_Tragedy,21.0,21.0,0.0,3.0,10.0,0.0,10.0,89.0,3.0,49.0,27.0,51.0,35.0
Propeller_Raw_Files,9.0,30.0,0.0,15.0,4.0,0.0,13.0,93.0,0.0,37.0,37.0,30.0,22.0
Spitfire_Wheels,18.0,9.0,0.0,41.0,0.0,0.0,23.0,90.0,5.0,10.0,24.0,43.0,43.0
411vm_Hot_Wheels,31.0,19.0,0.0,12.0,25.0,0.0,0.0,100.0,12.0,25.0,50.0,50.0,0.0
