"","trick","count"
"1","ollie",35
"2","bs bigspin",12
"3","bs kickflip",12
"4","kickflip",11
"5","sw heelflip",10
"6","halfcab flip",9
"7","wallie",9
"8","fs shuv",8
"9","bs tailslide",6
"10","bs 180",5
"11","sw bs 180",5
"12","sw bs crook",5
"13","sw bs crook to regular",5
"14","bs crook",4
"15","fs kickflip",4
"16","fs nosegrind",4
"17","nollie heelflip",4
"18","sw bs kickflip",4
"19","sw fs nosegrind",4
"20","sw ollie",4
"21","bs boardslide to fakie",3
"22","bs darkslide to fakie",3
"23","bs kickflip ",3
"24","caveman to fs nosegrind",3
"25","fs 360",3
"26","fs 5-0",3
"27","fs noseblunt slide",3
"28","hippie jump",3
"29","nollie bs heelflip",3
"30","nollie fs heelflip",3
"31","sw fs 5-0",3
"32","sw fs boardslide",3
"33","sw tre",3
"34","sw tre ",3
"35","varial heelflip",3
"36","bs 180 to sw bs 5-0",2
"37","bs 180 to sw bs crook to regular",2
"38","bs 180 to sw bs nosegrind to regular",2
"39","bs 270 to fs tailslide",2
"40","bs 360",2
"41","bs 5050",2
"42","bs bigflip",2
"43","bs bluntslide",2
"44","bs noseslide popover",2
"45","fakie kickflip",2
"46","fs 180",2
"47","fs 5050",2
"48","fs bigspin",2
"49","fs boardslide",2
"50","fs tailslide",2
"51","halfcab heelflip",2
"52","manual",2
"53","nollie kickflip ",2
"54","nose manual",2
"55","noseblunt stall",2
"56","pole jam",2
"57","ride off hubba",2
"58","sw bs 180 nosegrind",2
"59","sw bs heelflip",2
"60","sw bs tailslide",2
"61","sw bs tailslide to regular",2
"62","sw caveman to sw fs nosegrind",2
"63","sw fs boardslide to drop to sw fs boardslide ",2
"64","sw fs crook",2
"65","sw fs nosegrind to regular",2
"66","sw fs noseslide to regular",2
"67","sw fs tailslide to regular",2
"68","sw ride off hubba",2
"69","5-0 to fakie",1
"70","blunt stall to kickflip to fakie",1
"71","blunt to fakie",1
"72","blunt to kickflip to fakie",1
"73","boardslide to fakie",1
"74","bodyvarial to sw 5050 to fakie",1
"75","boneless into bank",1
"76","bs 180 to sw fs 5050",1
"77","bs 360 nosegrab",1
"78","bs 5-0",1
"79","bs 5-0 stall",1
"80","bs 5-0 to fakie",1
"81","bs 5-0 to nosegrab",1
"82","bs 5-0 to shuv to fakie",1
"83","bs bigspin to fs boardslide",1
"84","bs bluntslide to fakie",1
"85","bs bluntslide to fingerflip to fakie",1
"86","bs bluntslide to fs shuv",1
"87","bs bluntslide to kickflip",1
"88","bs bluntslide to kickflip to fakie",1
"89","bs bluntslide to yank to fs 180",1
"90","bs boardslide",1
"91","bs boardslide to pop over",1
"92","bs crook fakie",1
"93","bs crook to fakie",1
"94","bs heelflip",1
"95","bs lipslide",1
"96","bs lipslide to bs tailslide to fakie",1
"97","bs nose stall",1
"98","bs noseblunt slide",1
"99","bs noseslide to bs 5050",1
"100","bs noseslide to bs boardslide",1
"101","bs noseslide to bs crook",1
"102","bs noseslide to bs crook to shuv",1
"103","bs noseslide to fingerflip",1
"104","bs noseslide to nollie bs 180",1
"105","bs noseslide to nollie kickflip",1
"106","bs noseslide to nollie shuv over ",1
"107","bs noseslide to shuv to pop over ",1
"108","bs noseslide to tail grab to bs crook",1
"109","bs noseslide to tailgrab to shuv to pop over",1
"110","bs noseslide to yank ",1
"111","bs noseslide to yank over",1
"112","bs noseslide to yank over ",1
"113","bs slash",1
"114","bs suski",1
"115","bs tailslide to shuv",1
"116","bs wallride",1
"117","drop in grind",1
"118","fakie 5-0 to fakie kickflip",1
"119","fakie bigflip",1
"120","fakie fs crook to fakie",1
"121","fakie heelflip",1
"122","feeble",1
"123","flyout fs 180",1
"124","fs 180 sw nosegrind",1
"125","fs 180 to sw 5-0 to fakie",1
"126","fs 180 to sw fs 5-0 to 180",1
"127","fs 180 to sw fs nosegrind to regular",1
"128","fs 180 to sw manual to fakie",1
"129","fs 5-0 stall",1
"130","fs 5-0 to fakie",1
"131","fs 5050 to bs kickflip",1
"132","fs blunt to shuv",1
"133","fs bluntslide",1
"134","fs bluntslide ",1
"135","fs bluntslide to fakie",1
"136","fs boardslide to fakie",1
"137","fs crailslide to fakie",1
"138","fs kickflip to sw fs 5-0",1
"139","fs noseslide",1
"140","fs noseslide to fakie",1
"141","fs noseslide to shuv",1
"142","fs pivot to fakie",1
"143","fs shuv to bs nosegrind",1
"144","fs slash to fakie",1
"145","fs smith",1
"146","fs tailslide to fs shuv",1
"147","fs tailslide to kickflip",1
"148","fs tailslide to sw bs 5050 to regular",1
"149","fs wallride yank",1
"150","fs wallrie to 5-0 to fakie",1
"151","halfcab",1
"152","halfcab heel",1
"153","halfcab to 5-0 to fakie",1
"154","hurricane",1
"155","hurricane to fakie",1
"156","inward heel",1
"157","kickflip bs tailslide",1
"158","kickflip noseslide to fakie",1
"159","kickflip to bs noseslide to fakie",1
"160","no comply 180",1
"161","no comply tailslide",1
"162","no comply to fs tailslide ",1
"163","no comply to tailslide ",1
"164","no comply to tailslide to fakie",1
"165","nollie ",1
"166","nollie bs 180",1
"167","nollie bs 5-0",1
"168","nollie fs 180 ",1
"169","nollie fs flip",1
"170","nollie fs kickflip",1
"171","nollie fs lipslide",1
"172","nollie fullcab",1
"173","nollie heel",1
"174","nollie kickflip",1
"175","nollie tre",1
"176","nosegrab to fs smith stall",1
"177","noseslide to yank over",1
"178","pivot to fakie",1
"179","revert",1
"180","ride on 5050",1
"181","rock and roll",1
"182","shuv it to pivot to shuv to fakie",1
"183","shuv to bs noseslide to fakie",1
"184","shuv to fs boardslide",1
"185","slappy bs crook",1
"186","slappy fs noseslide to fakie",1
"187","slappy noseslide to pop over",1
"188","sw 5-0 ",1
"189","sw bigflip",1
"190","sw boardslide",1
"191","sw bs 180 crook to regular",1
"192","sw bs 5-0",1
"193","sw bs 5-0 to fakie",1
"194","sw bs bigspin to sw fs boardslide",1
"195","sw bs bluntslide to 5-0 to fakie",1
"196","sw bs crook to kickflip",1
"197","sw bs lipslide",1
"198","sw bs lipslide to regular",1
"199","sw bs tailslide ",1
"200","sw bs tailslide to sw bs kickflip",1
"201","sw feeble ",1
"202","sw fs 180",1
"203","sw fs 180 to fs nosegrind ",1
"204","sw fs 5-0 ",1
"205","sw fs 5050",1
"206","sw fs blunt to shuv",1
"207","sw fs bluntslide",1
"208","sw fs boardslide to regular",1
"209","sw fs crook to fakie",1
"210","sw fs noseblunt",1
"211","sw fs noseblunt to regular",1
"212","sw fs nosegrind to tail grab",1
"213","sw fs noseslide",1
"214","sw fs noseslide ",1
"215","sw fs noseslide to fakie kickflip",1
"216","sw fs noseslide to nollie bs 180",1
"217","sw fs noseslide to shuv to regular",1
"218","sw fs shuv",1
"219","sw fs tailslide to sw bs crook",1
"220","sw hill bomb",1
"221","sw kickflip",1
"222","sw kickflip to bs salad to fakie",1
"223","sw kickflip to sw fs boardslide",1
"224","sw ollie ",1
"225","sw pole jam",1
