"obstacle","year","cnt"
Flat,2002,7.57575757575758
Flat,2005,7.69230769230769
Flat,2008,13.6363636363636
Gap,2002,15.1515151515152
Gap,2005,10.7692307692308
Gap,2008,0
Gap,2011,0
Handrail,2002,15.1515151515152
Handrail,2005,13.8461538461538
Handrail,2008,0
Handrail,2011,0
Handrail,2019,0
Hubba,2002,6.06060606060606
Hubba,2005,10.7692307692308
Ledge,2002,43.9393939393939
Ledge,2005,30.7692307692308
Ledge,2008,54.5454545454545
Ledge,2011,60
Ledge,2019,66.6666666666667
Manny Pad,2002,6.06060606060606
Manny Pad,2005,10.7692307692308
Manny Pad,2008,13.6363636363636
Manny Pad,2011,24
Rail,2002,1.51515151515152
Rail,2005,1.53846153846154
Rail,2011,4
Stairs,2002,4.54545454545455
Stairs,2005,10.7692307692308
Stairs,2008,9.09090909090909
Stairs,2011,8
Stairs,2019,33.3333333333333

