"","trick","count"
"1","sw bs crook",7
"2","fakie fs shuv",6
"3","nollie bs bigspin",4
"4","nollie bs lipslide to fakie",4
"5","nollie fs tailslide",4
"6","nollie fs tailslide to fakie",4
"7","sw bs nosegrind",4
"8","bs heelflip",3
"9","bs shuv",3
"10","fs bluntslide",3
"11","fs crook",3
"12","nollie fs shuv",3
"13","sw firecracker",3
"14","sw fs boardslide",3
"15","sw fs shuv",3
"16","bs lipslide to bs shuv",2
"17","bs tailslide to fakie",2
"18","fakie flip to sw fs noseslide",2
"19","fakie fs nosegrind",2
"20","fakie heelflip",2
"21","fakie kickflip",2
"22","fakie manny",2
"23","fs 180",2
"24","halfcab fs nosegrind",2
