"obstacle","year","cnt"
"Flat",2011,13.5593220338983
"Flat",2012,7.69230769230769
"Flat",2014,1.78571428571429
"Flat",2015,5.55555555555556
"Flat",2017,2.4390243902439
"Flat",2019,8.21917808219178
"Gap",2011,18.6440677966102
"Gap",2012,30.7692307692308
"Gap",2014,25
"Gap",2015,38.8888888888889
"Gap",2017,9.75609756097561
"Gap",2019,30.1369863013699
"Handrail",2011,27.1186440677966
"Handrail",2012,28.2051282051282
"Handrail",2014,48.2142857142857
"Handrail",2015,16.6666666666667
"Handrail",2017,39.0243902439024
"Handrail",2019,31.5068493150685
"Hubba",2011,3.38983050847458
"Hubba",2012,7.69230769230769
"Hubba",2014,3.57142857142857
"Hubba",2015,16.6666666666667
"Hubba",2017,7.31707317073171
"Hubba",2019,5.47945205479452
"Ledge",2011,10.1694915254237
"Ledge",2012,5.12820512820513
"Ledge",2014,10.7142857142857
"Ledge",2017,7.31707317073171
"Ledge",2019,9.58904109589041
"Rail",2011,11.864406779661
"Rail",2012,7.69230769230769
"Rail",2014,5.35714285714286
"Rail",2015,11.1111111111111
"Rail",2017,17.0731707317073
"Rail",2019,4.10958904109589
"Stairs",2011,10.1694915254237
"Stairs",2012,5.12820512820513
"Stairs",2014,5.35714285714286
"Stairs",2015,11.1111111111111
"Stairs",2017,9.75609756097561
"Stairs",2019,6.84931506849315
"Switch",2011,49.1525423728814
"Switch",2012,51.2820512820513
"Switch",2014,66.0714285714286
"Switch",2015,44.4444444444444
"Switch",2017,29.2682926829268
"Switch",2019,61.6438356164384
