"obstacle","year","cnt"
"Flat",2012,1.81818181818182
"Flat",2014,12.0689655172414
"Flat",2017,10.5263157894737
"Flat",2019,8.88235294117647
"Gap",2012,23.6
"Gap",2014,10.89655172413793
"Gap",2017,15.5263157894737
"Gap",2019,11.7647058823529
"Handrail",2012,43.6363636363636
"Handrail",2014,51.7241379310345
"Handrail",2017,47.3684210526316
"Handrail",2019,61.7647058823529
"Hubba",2012,7.27272727272727
"Hubba",2014,3.44827586206897
"Hubba",2017,5.26315789473684
"Hubba",2019,5.88235294117647
"Ledge",2012,5.45454545454545
"Ledge",2014,1.72413793103448
"Ledge",2017,1.75438596491228
"Ledge",2019,5.88235294117647
"Stairs",2012,10.9090909090909
"Stairs",2014,1.72413793103448
"Stairs",2017,1.75438596491228
"Stairs",2019,4.94117647058824
