"","trick","count"
"1","fs 5050",8
"2","hardflip",7
"3","bs crook",6
"4","fs noseblunt",6
"5","fs nosegrind",6
"6","ollie",6
"7","fs kickflip",5
"8","tre flip",5
"9","bs 5050",4
"10","fs smith",4
"11","fs tailslide",4
"12","big heel",3
"13","bs boardslide",3
"14","bs feeble",3
"15","bs overcrook",3
"16","bs smith",3
"17","fs 360 shuv",3
"18","fs bigspin",3
"19","fs crook",3
"20","fs lipslide",3
"21","fs nosegrind to fakie",3
"22","fs nosegrind to shuv",3
"23","fs tailslide to kickflip",3
"24","halfcab heelflip",3
"25","halfcab kickflip",3
"26","hardflip to bs smith",3
"27","kickflip",3
