guest,favorite skater,favorite style,biggest influence,most talented,season,episode,yob
bobby de keyzer,ryan gallant,,,,1,1,1995
js lapierre,nick trapasso,,,,1,2,
jed anderson,van wastell,,,,1,3,
paul liliani,mike carroll,,,,1,4,
tj rogers,mark appleyard,,,,1,5,1991
ben blundell,stevie williams,,,,1,6,1993
wade desarmo,gino iannucci,,,,1,bonus,
morgan smith,,,,,1,bonus,
corey sheppard,justin bokma,,,,2,3,1979
darren harper,lavar mcbride,,,,2,4,1982
paul rodriguez,eric koston/andrew reynolds/tom penny,,,,2,5,1984
russ milligan,gino iannucci,,,,2,6,
brian delaney,jb gillet,,,,2,7,
rick mccrank,mark gonzales,,,,2,8,1976
kevin lowry,jake johnson/ave,,,,2,9,
stevie williams,guy mariano,austyn gillette,,,2,10,1979
nick tucker,paul rodriguez/eric koston/tom penny/andrew reynolds,jacob williams,,,2,11,1990
brandon biebel,paul rodriguez,bryan herman,,,2,12,
tim o'connor,mike carroll,mike carroll/brian lotti,,,3,1,1978
brian anderson,mark gonzales,ben schroeder,,,3,2,1976
chad dickson,carlos ribeiro,carlos ribeiro,,tiago lemos,3,3,1986
ryan lay,keenan milton,tom knox,,tiago lemos/bobby de keyzer/dylan rieder,3,4,1988
mark appleyard,jeremy wray,stevie williams,,shane o'neill,3,5,1982
mike mcdermott,rick howard,,,bobby de keyzer,3,6,
gailea momolu,shane o'neill,,,wade desarmo/shane o'neill/mark appleyard,3,7,
sascha daley,andrew reynolds/wes kremer/ishod wair/arto saari,wes kremer,,wes kremer,3,8,1987
stefan janoski,mike carroll/heath kirchart,kyle leeper,,shane o'neill/ishod wair/carlos ribeiro/diego najera/bobby de keyzer,3,9,1979
bastien salabanzi,daewon song,marc johnson,,shane o'neill,3,10,1985
gilbert crockett,jon rowe,ty bell,,grant taylor,3,11,1989
chima ferguson,lucas puig,rowan zorilla,,ishod wair,3,12,1989
grant patterson,tom penny,anthony pappalardo,,,3,bonus,
elijah berle,john cardiel/ave,ave,,daan van der linden/ishod wair,4,1,1995
ryan gallant,matt hensley,kenny anderson/erik ellington,,pj ladd,4,2,1982
sammy winter,gino iannucci,ave,,shane o'neill,4,3,1986
aaron herrington,diego najera/mark gonzales,bobby de keyzer,,bobby de keyzer,4,4,1989
johnny layton,geoff rowley,brian anderson,,ishod wair,4,5,1986
jake phelps,mark gonzales,john cardiel,,mark gonzales,4,6,1962
mitch barrette,miles silvas,mike fife,,shane o'neill,4,7,1988
mark suciu,dennis busenitz,anthony pappalardo,,tiago lemos,4,8,1992
eli reed,mark gonzales,robbie gangemi,,rodney mullen,4,9,1985
brian wenning,fred gall,antwuan dixon,,ave,4,10,1981
johnny tang,wade desarmo/morgan smith,danny renaud,,shane o'neill,4,11,
brandon turner,tom penny,gino iannucci,,daewon song,4,12,1982
morgan smith/wade desarmo,javier sarmiento/tiago lemos,tom penny/grant patterson,,travis stenger/tiago lemos/herbert davy,5,1,
windsor james,nick trapasso/angel ramirez,nick trapasso/wade desarmo/erik ellington,,ishod wair,5,2,1986
nora vasconcellos,mark gonzales/ishod wair/grant taylor,raven tershy,,ishod wair,5,3,1992
magnus hanson,dennis durante,bradley sheppard,,louie lopez,5,4,
robbie brockel,grant taylor,ishod wair,,ishod wair,5,5,1990
corey duffel,ethan fowler,ethan fowler,,grant taylor,5,6,1984
richard rizzo,max palmer,matt reason,,ishod wair,5,7,1996
leo romero,heath kirchart,john alley,,bob burnquist,5,8,1986
jerry hsu,rowan zorilla,tino razo,,daewon song/bob burnquist/marc johnson,5,9,1981
clint walker,john alley/cole wilson,jerry hsu,,shane o'neill/tiago lemos,5,10,1990
bryan herman,andrew reynolds,lucien clarke,,shane o'neill,5,11,1986
alex olson,scott oster,mike carroll,,max palmer,5,12,1986
chima ferguson,jake hayes,jake hayes,,,6,1,1989
james hardy,john alley,john alley/jack kirk,,ishod wair,6,2,1989
dan lu,mark appleyard,nick trapasso,,tony hawk,6,3,1990
daryl angel,kevin rodrigues,brian anderson,,mark suciu,6,4,1988
jamie tancowny,,julian davidson,,nyjah huston,6,5,1990
ted barrow,ave,alex olson,,wes kremer,6,6,
austyn gillette,dennis busenitz,stefan janoski,,grant yansura,6,7,1991
