guest,favorite skater,favorite style,biggest influence,most talented
bobby de keyzer,ryan gallant,,,
js lapierre,nick trapasso,,,
jed anderson,van wastell,,,
paul liliani,mike carroll,,,
tj rogers,mark appleyard,,,
ben blundell,stevie williams,,,
wade desarmo,gino iannucci,,,
morgan smith,,,,
corey sheppard,justin bokma,,,
darren harper,lavar mcbride,,,
paul rodriguez,eric koston/andrew reynolds/tom penny,,,
russ milligan,gino iannucci,,,
brian delaney,jb gillet,,,
rick mccrank,mark gonzales,,,
kevin lowry,jake johnson/ave,,,
stevie williams,guy mariano,austyn gillette,,
nick tucker,paul rodriguez/eric koston/tom penny/andrew reynolds,jacob williams,,
brandon biebel,paul rodriguez,bryan herman,,
tim o'connor,mike carroll,mike carroll/brian lotti,,
brian anderson,mark gonzales,ben schroeder,,
chad dickson,carlos ribeiro,carlos ribeiro,,tiago lemos
ryan lay,keenan milton,tom knox,,tiago lemos/bobby de keyzer/dylan rieder
mark appleyard,jeremy wray,stevie williams,,shane o'neill
mike mcdermott,rick howard,,,bobby de keyzer
gailea momolu,shane o'neill,,,wade desarmo/shane o'neill/mark appleyard
sascha daley,andrew reynolds/wes kremer/ishod wair/arto saari,wes kremer,,wes kremer
stefan janoski,mike carroll/heath kirchart,kyle leeper,,shane o'neill/ishod wair/carlos ribeiro/diego najera/bobby de keyzer
bastien salabanzi,daewon song,marc johnson,,shane o'neill
gilbert crockett,jon rowe,ty bell,,grant taylor
chima ferguson,lucas puig,rowan zorilla,,ishod wair
grant patterson,tom penny,anthony pappalardo,,
elijah berle,john cardiel/ave,ave,,daan van der linden/ishod wair
ryan gallant,matt hensley,kenny anderson/erik ellington,,pj ladd
sammy winter,gino iannucci,ave,,shane o'neill
aaron herrington,diego najera/mark gonzales,bobby de keyzer,,bobby de keyzer
johnny layton,geoff rowley,brian anderson,,ishod wair
jake phelps,mark gonzales,john cardiel,,mark gonzales
mitch barrette,miles silvas,mike fife,,shane o'neill
mark suciu,dennis busenitz,anthony pappalardo,,tiago lemos
eli reed,mark gonzales,robbie gangemi,,rodney mullen
brian wenning,fred gall,antwuan dixon,,ave
johnny tang,wade desarmo/morgan smith,danny renaud,,shane o'neill
brandon turner,tom penny,gino iannucci,,daewon song
morgan smith & wade desarmo,javier sarmiento/tiago lemos,tom penny/grant patterson,,travis stenger/tiago lemos/herbert davy
windsor james,nick trapasso/angel ramirez,nick trapasso/wade desarmo/erik ellington,,ishod wair
nora vasconcellos,mark gonzales/ishod wair/grant taylor,raven tershy,,ishod wair
magnus hanson,dennis durante,bradley sheppard,,louie lopez
robbie brockel,grant taylor,ishod wair,,ishod wair
corey duffel,ethan fowler,ethan fowler,,grant taylor
richard rizzo,max palmer,matt reason,,ishod wair
leo romero,heath kirchart,john alley,,bob burnquist
jerry hsu,rowan zorilla,tino razo,,daewon song/bob burnquist/marc johnson
clint walker,john alley/cole wilson,jerry hsu,,shane o'neill/tiago lemos
bryan herman,andrew reynolds,lucien clarke,,shane o'neill
alex olson,scott oster,mike carroll,,max palmer
chima ferguson,jake hayes,jake hayes,,
james hardy,john alley,john alley/jack kirk,,ishod wair
dan lu,mark appleyard,nick trapasso,,tony hawk
daryl angel,kevin rodrigues,brian anderson,,mark suciu
jamie tancowny,,julian davidson,,nyjah huston
ted barrow,ave,alex olsen,,wes kremer
austyn gillette,dennis busenitz,stefan janoski,,grant yansura
weckingball,weckingball,mark suciu,,kyle nicholson
jamie thomas,john cardiel,donny barley/wes kremer,,nyjah huston
dustin henry,rick howard/rick mccrank,ben blundell,,jesse alba
tony tave,antwuan dixon,wes kremer,,ishod wair
nick trapasso,shane cross/van wastell/jake duncombe,van wastell/jamie tancowny/tony tave,,wes kremer/dann van der linden/grant taylor
wes kremer,danny way,tom penny,???,evan smith
josh wilson,fred gall,fred gall/jake johnson,jake johnson,tiago lemos
tony trujillo,john cardiel,eric dressen,wade speyer,phil shao
matt berger,marc johnson,marc johnson,marc johnson,chris joslin
matt miller,rob welsh,gino iannucci,josh kalis/rob welsh/ave,wes kremer/evan smith
brandon westgate,leo romero,aaron suski/donny barley,anthony shetler/nick dompierre,
pat sinner pasquale,tom penny,tom penny/nick trapasso,chad muska,nyjah huston
nick dompierre,dennis busenitz,kenny anderson,mark appleyard,luan oliveira
dan plunkett,daan van der linden,,andrew reynolds/eric koston,grant taylor
torey goodall,mike carroll,lavar mcbride,mike york,bradley sheppard
justin henry,ave,al davis,al davis/ave,jake johnson
gary rogers,mark suciu,mark suciu/marcos montoya,mark suciu,ishod wair/tyshawn jones
pedro delfino,john cardiel,jake johnson,john cardiel,et
mikey taylor,eric koston,gino iannucci,mark appleyard,guy mariano
mike hastie,paul machnau,donny barley,paul machnau,todd falcon/ishod wair/grant taylor
william strobeck,dylan rieder/mark gonzales/tyshawn jones,stevie williams/sean pablo,jason dill,dylan rieder
bradley sheppard,brandon westgate,riley boland,jon west,rick mccrank
joe castrucci,mike carroll,mark gonzales,keith hufnagel,mark suciu
korahn gayle,ishod wair/chewy cannon/lucien clarke/matt, matt?,,ishod wair
sean pablo,kevin rodrigues/kevin bradley/ben kadow/aidan mackey,gino ianucci/van wastell/heath kirchart,dylan rieder/jason dill/ave,rowan zorilla
silas baxter-neal,rick mccrank,stefan janoski,andrew reynolds/jamie thomas,gustav tønnesen/daewon song
colt cannon,phil shao,phil shao,phil shao,
kerry getz,eric koston,mike carroll,tom penny,mark suciu
brad cromer,pj ladd,marc johnson,pj ladd/andrew reynolds,ishod wair
"rob ""sluggo"" boyce",colin mckay,evan smith,steve caballero/christian hosoi,chris haslam
caswell berry,steve caballero/brian anderson/wade speyer,phil shao,jamie thomas,sommy/lanny
evan smith,kenny anderson,figgy,grant taylor,grant taylor
jesse alba,pat rakestraw,bob burnquist,jason adams,hjalte halberg
arron johnson,sascha daley,zach barton,andrew reynolds,wade desarmo
danny renaud,tim o'connor,tim o'connor,,daewon song
mason silva,ed templeton,reese forbes,brandon westgate/jeremy wray,guy mariano
dom henry,josh kalis,keenan milton/tom penny,kevin frances/joseph funger,javier sarmiento
louie lopez,jake johnson,keenan milton/grant taylor,daewon song,kevin bradley
scott kane,marc johnson,mark appleyard,marc johnson,marc johnson
chad tim tim,guy mariano,guy mariano/kenny anderson/heath kirchart/dan drehobl/john cardiel,guy mariano/mike carroll/justin reynolds/danny montoya/rob gonzales,ishod wair/louie lopez
fred gall,sean sheffey,matt hensley,matt hensley,
oscar candon & albert nyberg,fred gall/ave/kyle leeper,ave/marc johnson,???/ray barbee,
davis torgerson,kenny anderson,kenny anderson,geoff rowley/marc johnson/mike carroll/mike anderson,shane o'neill
pat burke,gilbert crockett,chad muska,andrew reynolds,jon alley
kevin spanky long,jerry hsu,heath kirchart,andrew reynolds,gailea momolu
darrell stanton,grant taylor,grant taylor,lavar mcbride/andrew reynolds,nyjah huston
dwayne fagundes,stevie williams,tiago lemos,stevie williams,rodrigo tx
ben gilley,arto saari/heath kirchart/ed templeton,dylan rieder,frank hirata,dennis busenitz/marc johnson
karl watson,shane o'neill,deandre thebpanya aka lil dre,marc johnson/guy mariano/brian lotti,daewon song
caleb barnett,lavar mcbride,lavar mcbride,antwuan dixon/brian anderson,dashawn jordan
gabriel summers,dustin dollin/heath kirchart,john alley/heath kirchart,dustin dollin,shane o'neill
johan stuckey,heath kirchart,rick howard,dane brady,ishod wair/gilbert crockett/austyn gillette
danny garcia,eric koston,mike carroll,eric koston,austyn gillette
will marshall,tom snape/kyle wilson/ross norman/tony tave,brandon turner,spencer hamilton/wade desarmo,wes kremer
hjalte halberg,chris milic,julien stranger,marc johnson,daan van der linden
cairo foster,rick howard/mike carroll,rick howard,rick howard,shane o'neill/ishod wair
wade desarmo,tiago lemos,gino ianucci,gino ianucci/tom penny,ishod wair
grant yansura,heath kirchart/joel meinholz,tiago lemos/jake johnson,jason adams/reese forbes,tiago lemos/grant taylor/ishod wair
heitor da silva,kyle wilson,kyle wilson,ishod wair,gustav tønnesen
breana geering,marisa dal santo,dylan rieder,elissa steamer/marisa dal santo,john cardiel
kenny reed,brian lotti,jason lee,guy mariano,tony hawk
dennis durrant,jeremy wray/daewon song,tom snape,jeremy wray/daewon song,andrew reynolds
ali boulala,mike carroll,,jim greco/andrew reynolds,tom penny
dennis busenitz,john cardiel,gino iannucci,donny barley,mark suciu
erik ellington,matt hensley,keenan milton,mike carroll,eric koston
kyle wilson,tiago lemos,heitor da silva,tiago lemos,tiago lemos/heitor da silva
tom snape,james wright,rob welsh,james wright,aussie dave
justin brock,john cardiel,john cardiel,john cardiel,eric koston
jahmir brown,kevin bilyeu,baggy,stevie williams,dylan sourbeer/kevin bilyeu/brian panebianco/chris falo
ryan smith,mike carroll,heath kirchart,mike carroll,danny way
kelly hart,brian wenning,gino iannucci,brian wenning/pj ladd,ishod wair
vincent alvarez,mark gonzales,julien stranger,chad muska,nyjah huston
ryan decenzo,paul machnau,wade desarmo,wade desarmo/paul machnau,ishod wair
hugo balek,antoine asselin,tom knox,tomo bara/antoine asselin/chris mongenne,eric riedl
walker ryan,wes kremer,wes kremer,mark appleyard,ishod wair
shane heyl,mike carroll,javontae turner,world industries/plan b,jamie foy/ishod wair
alexis sablone,donny barley/brian anderson/stevie williams/mike maldonado,donnie barley/stevie williams,trevor thompson,louie lopez
jeff lenoce,rodrigo tx,gino iannucci,tom penny,shane o'neill
cyrus bennett,van wastell,van wastell,ali boulala/jim greco,yuto horigome
damian bravo,mark gonzales/jeron wilson,mark gonzales,jeron wilson/richard mulder,mark gonzales
marisa dal santo,jim greco,geoff rowley,jim greco/misled youth,arto saari/heath kirchart
