"","trick","count"
"1","kickflip",19
"2","ollie",16
"3","fs 5050",12
"4","fs boardslide",12
"5","bs 360",11
"6","bs boardslide",10
"7","bs kickflip",10
"8","fs smith",10
"9","hill bomb",10
"10","tre flip",10
"11","fs lipslide",8
"12","bs boardslide to fakie",6
"13","bs crook",6
"14","fs crook",6
"15","fs kickflip",6
"16","fs tailslide",6
"17","bs feeble",5
"18","bs tailslide",5
"19","fs tailslide to fakie",5
"20","bs lipslide",4
"21","fakie kickflip",4
"22","fs 5-0",4
"23","fs lipslide to fakie",4
"24","fs nosegrind",4
"25","nollie kickflip",4
"26","sw heelflip",4
"27","bunny hop",3
