"obstacle","year","cnt"
"Flat",1995,6.25
"Flat",1997,12.5
"Flat",2003,11.9047619047619
"Flat",2004,18.6046511627907
"Flat",2010,23.0769230769231
"Flat",2014,4.16666666666667
"Flat",2017,21.0526315789474
"Flat",2019,7.40740740740741
"Flat",2020,10
"Gap",1994,50
"Gap",1995,6.25
"Gap",1996,20
"Gap",1998,100
"Gap",2002,14.2857142857143
"Gap",2003,11.9047619047619
"Gap",2004,30.2325581395349
"Gap",2006,25
"Gap",2010,15.3846153846154
"Gap",2012,44.4444444444444
"Gap",2014,16.6666666666667
"Gap",2015,12.5
"Gap",2016,14.2857142857143
"Gap",2017,21.0526315789474
"Gap",2018,25
"Gap",2019,14.8148148148148
"Gap",2020,10
"Handrail",1994,25
"Handrail",1995,31.25
"Handrail",1996,28
"Handrail",1997,37.5
"Handrail",2003,16.6666666666667
"Handrail",2004,13.953488372093
"Handrail",2017,8.7719298245614
"Handrail",2019,7.40740740740741
"Ledge",1994,25
"Ledge",1995,31.25
"Ledge",1996,12
"Ledge",1997,25
"Ledge",2003,19.047619047619
"Ledge",2004,16.2790697674419
"Ledge",2006,37.5
"Ledge",2008,100
"Ledge",2010,38.4615384615385
"Ledge",2014,37.5
"Ledge",2015,50
"Ledge",2016,14.2857142857143
"Ledge",2017,19.2982456140351
"Ledge",2018,75
"Ledge",2019,37.037037037037
"Ledge",2020,30
"Rail",1995,12.5
"Rail",1996,20
"Rail",1997,12.5
"Rail",2003,9.52380952380952
"Rail",2004,6.97674418604651
"Rail",2010,11.5384615384615
"Rail",2012,11.1111111111111
"Rail",2014,4.16666666666667
"Rail",2017,7.01754385964912
"Rail",2019,7.40740740740741
"Stairs",1996,20
"Stairs",2003,21.4285714285714
"Stairs",2010,7.69230769230769
"Stairs",2012,33.3333333333333
"Stairs",2014,8.33333333333333
"Stairs",2016,28.5714285714286
"Stairs",2017,5.26315789473684
"Stairs",2019,11.1111111111111
"Transition",2004,2.32558139534884
"Transition",2006,25
"Transition",2012,11.1111111111111
"Transition",2014,20.8333333333333
"Transition",2015,37.5
"Transition",2016,14.2857142857143
"Transition",2017,3.50877192982456
"Transition",2019,7.40740740740741
"Transition",2020,20
