video,perc_stair,perc_ledge,perc_manual,perc_transition,perc_handrail,perc_flat,perc_distinct,perc_slowmo,perc_switch,perc_fs,perc_bs
Cash Money Vagrant,12.0,19.0,0.0,0.0,17.0,12.0,71.0,0.0,12.0,36.0,31.0
Straight to Floppy Disk,22.0,22.0,4.0,2.0,8.0,24.0,78.0,0.0,12.0,33.0,29.0
Wheels of Fortune,20.0,12.0,0.0,0.0,28.0,0.0,68.0,0.0,12.0,52.0,24.0
Six Newell,32.0,18.0,0.0,2.0,15.0,20.0,75.0,0.0,5.0,32.0,32.0
Tent City,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
411VM 50,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
FM II,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
Antihero: Bonus Footage,25.0,38.0,0.0,25.0,0.0,0.0,88.0,0.0,25.0,62.0,12.0
BATB1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
BATB3,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hillybilly Roadkill,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Chinese Takeout,44.0,0.0,0.0,11.0,0.0,0.0,88.0,0.0,0.0,12.0,25.0
Thrash & Burn,0.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Yellow Van Chronicles,10.0,30.0,0.0,50.0,0.0,10.0,90.0,0.0,10.0,30.0,50.0
Destination Unknown,21.0,43.0,0.0,0.0,0.0,0.0,100.0,0.0,8.0,46.0,46.0
Moigle Splatter,12.0,50.0,0.0,38.0,0.0,0.0,75.0,0.0,12.0,50.0,50.0
One Star World Tour,0.0,0.0,25.0,0.0,0.0,0.0,100.0,0.0,25.0,0.0,25.0
Chestnut Hill,33.0,33.0,0.0,33.0,0.0,0.0,100.0,0.0,0.0,33.0,33.0
Body Corporate,25.0,0.0,0.0,25.0,25.0,0.0,100.0,0.0,0.0,25.0,50.0
Arbitrary Function,19.0,25.0,0.0,6.0,12.0,12.0,75.0,0.0,12.0,38.0,25.0
Quantanium,33.0,33.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,67.0
Implosionistic Tendencies: Garble Barf,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
TWS Vault: Jason Hernandez,0.0,67.0,0.0,0.0,0.0,33.0,100.0,0.0,0.0,67.0,0.0
Homies Ep 1,0.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0
Implosionistic Tendencies: 28 MPH,0.0,86.0,0.0,14.0,0.0,0.0,100.0,0.0,0.0,86.0,43.0
Equador Hellride,25.0,75.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.0,33.0
Frank Gerwer 1997,0.0,25.0,0.0,0.0,38.0,12.0,88.0,0.0,12.0,56.0,25.0
411 Metrospective: NYC,50.0,25.0,0.0,0.0,25.0,0.0,100.0,0.0,50.0,50.0,25.0
Maiden Days,6.0,31.0,0.0,0.0,31.0,6.0,81.0,0.0,0.0,56.0,31.0
Implosionistic Tendencies: Auto Pilot,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,67.0,33.0
Frank Gerwer,16.0,36.0,0.0,0.0,0.0,24.0,76.0,0.0,4.0,40.0,40.0
