clip_index,trick_index,trick,obstacle,obstacle_detailer,slowmo,bank,switch,line,video,year
1,1,ollie,gap,,1,0,0,0,Programming Injection,2019
2,2,sw bs kickflip,gap,bump to gap,1,1,1,0,Programming Injection,2019
3,2,sw bs kickflip,gap,bump to gap,1,1,1,0,Programming Injection,2019
4,3,fs heelflip,flat,,0,0,0,1,Programming Injection,2019
4,4,fakie fs noseslide to bigspin,ledge,,0,0,0,1,Programming Injection,2019
5,5,sw fs shuv,flat,,0,0,1,1,Programming Injection,2019
5,6,sw fs boardslide,rail,bump to rail,0,1,1,1,Programming Injection,2019
6,7,fs 180 to late fs shuv,gap,bump to gap,0,1,0,0,Programming Injection,2019
7,8,fs 360,gap,bump to gap,0,1,0,0,Programming Injection,2019
8,9,sw heelflip,up,3,0,0,1,1,Programming Injection,2019
9,10,sw bs bigspin,stairs,10,0,0,1,1,Programming Injection,2019
10,11,sw kickflip,gap,bump to gap,0,0,1,0,Programming Injection,2019
11,12,sw heelflip,flat,,0,0,1,1,Programming Injection,2019
11,13,sw tre flip,flat,into bank,0,1,1,1,Programming Injection,2019
11,14,sw bs 180,flat,,0,0,1,1,Programming Injection,2019
11,15,bs bennet grind,ledge,,0,0,0,1,Programming Injection,2019
12,16,fs 180 to sw fs boardslide,handrail,8,0,0,0,0,Programming Injection,2019
13,17,kickflip to bs crook,handrail,8,0,0,0,0,Programming Injection,2019
14,18,nollie heelflip to bs noseslide,hubba,,0,0,0,0,Programming Injection,2019
15,19,sw bs lipslide,handrail,9,0,0,1,0,Programming Injection,2019
16,20,sw bs bigspin to fs boardslide,handrail,9,0,0,1,0,Programming Injection,2019
17,21,nollie to bs crook,hubba,,0,0,0,0,Programming Injection,2019
18,22,nollie heelflip to bs boardslide,handrail,9,0,0,1,0,Programming Injection,2019
19,23,fs 180 to sw fs nosegrind,hubba,8,0,0,0,0,Programming Injection,2019
20,24,fs heelflip to sw fs 5-0,handrail,6,0,0,0,0,Programming Injection,2019
21,25,wallie,rock,,0,0,0,1,Programming Injection,2019
21,26,fs 180 to sw fs 5-0 to regular,handrail,8,0,0,0,1,Programming Injection,2019
22,27,nollie kickflip to bs noseslide to fakie,handrail,8,0,0,1,0,Programming Injection,2019
23,28,sw bs 180,stairs,5 flat 5,1,0,1,0,Programming Injection,2019
24,29,nollie kickflip to bs feeble,handrail,9,1,0,1,0,Programming Injection,2019
25,30,sw bigflip to fs boardslide to regular,handrail,6,1,0,1,0,Programming Injection,2019
26,31,nollie kickflip to bs crook,handrail,12,1,0,1,0,Programming Injection,2019
26,32,nollie kickflip to bs crook,handrail,12,1,0,1,0,Programming Injection,2019
27,33,sw ollie,gap,,0,0,1,0,Programming Injection,2019
28,34,sw big heel,gap,4 block,0,0,1,0,Programming Injection,2019
29,35,sw fs heelflip,gap,into bank,0,1,1,0,Programming Injection,2019
30,36,sw heelflip,gap,bump to gap,0,1,1,0,Programming Injection,2019
31,37,sw kickflip to sw bs tailslide to regular,handrail,5,0,0,1,0,Programming Injection,2019
32,38,sw kickflip to sw bs tailslide to regular,hubba,8,0,0,1,0,Programming Injection,2019
33,39,sw kickflip to sw bs tailslide to regular,handrail,6,0,0,1,0,Programming Injection,2019
34,40,sw kickflip to sw bs tailslide to regular,handrail,7,0,0,1,0,Programming Injection,2019
35,41,fs heelflip,gap,euro gap,0,1,0,0,Programming Injection,2019
1,1,sw tre flip,flat,flat gap,1,0,1,0,Push Part,2017
2,2,kickflip to bs 5050 to bs 180,handrail,,0,0,0,0,Push Part,2017
3,3,fs 180 to sw fs wallride,wall,,0,1,0,0,Push Part,2017
4,4,sw fs wallride,wall,,0,1,1,0,Push Part,2017
5,5,bs crook,rail,outrail,1,0,0,0,Push Part,2017
