clip_index,trick_index,trick,obstacle,obstacle_detailer,push,jazzpush,slowmo,bank,switch,line,video,year
1,1,ollie ,gap,over rail,0,0,0,1,0,0,thnku,2015
2,2,fs bigspin,gap,over barrier,0,0,0,1,0,0,thnku,2015
3,3,fs 5050,ledge,bump to bar,0,0,0,1,1,0,thnku,2015
4,4,bs boardslide to fakie,transition,barrier,0,0,0,1,0,0,thnku,2015
5,5,sw bs boardslide to fakie,transition,spine,0,0,0,1,1,0,thnku,2015
6,6,nollie to bs crook to fakie,ledge,,2,0,,0,0,1,thnku,2015
6,7,sw fs nosegrind to sw fs 5050,ledge,drop to ledge,0,0,0,0,0,1,thnku,2015
7,8,sw fs tailslide,ledge,blubba,0,0,0,0,1,0,thnku,2015
8,9,fs boardslide,handrail,handrail,0,0,0,0,0,0,thnku,2015
9,10,sw fs shuv,gap,euro gap,0,0,0,1,1,0,thnku,2015
10,11,sw fs nosegrind,transition,barrier,0,0,0,1,1,0,thnku,2015
11,12,tre flip,flat,up curb,0,0,0,0,0,1,thnku,2015
11,13,fs kickflip,flat,over hydrant,0,0,0,0,0,1,thnku,2015
12,14,sw bs 5050 to sw bs 5050,ledge,drop to ledge,0,0,0,0,1,0,thnku,2015
13,15,sw bs crook to regular,ledge,bank to ledge,0,0,0,1,1,0,thnku,2015
14,16,bs boardslide,rail,out rail,0,0,0,0,0,0,thnku,2015
15,17,fs nosegrind,ledge,into bank,0,0,0,1,0,0,thnku,2015
16,18,sw bs boardslide to bs 5-0 to fakie,ledge,,0,0,0,0,1,0,thnku,2015
17,19,sw ollie,flat,over hydrant,0,0,0,0,0,1,thnku,2015
17,20,halfcab,flat,,2,0,0,0,0,1,thnku,2015
17,21,fs boardslide to shuv,handrail,handrail,0,0,0,0,0,1,thnku,2015
18,22,sw fs boardslide to shuv,handrail,handrail,0,0,0,0,0,0,thnku,2015
19,23,sw wallie 180 to manny,manny pad,,0,0,0,0,1,0,thnku,2015
20,24,sw bs 180,stairs,10,0,0,0,0,1,0,thnku,2015
21,25,sw bs crook,handrail,10,0,0,0,0,1,0,thnku,2015
22,26,ollie ,up,rock,0,0,0,0,0,1,thnku,2015
22,27,bs kickflip,flat,rock,0,0,0,0,0,1,thnku,2015
23,28,sw manny,manny pad,gap,0,0,0,0,1,0,thnku,2015
24,29,bs boardslide to sw manny,rail,bench,0,,,0,,,thnku,2015
25,30,kickflip to fs 5050 to bs 180,ledge,bank to ledge,0,,,1,,,thnku,2015
26,31,sw kickflip to sw bs 5050 to sw fs 180,ledge,into bank,0,,,1,,,thnku,2015
27,32,nollie fs 180,gap,,0,,,0,,,thnku,2015
28,33,nollie fs lipslide to fakie,ledge,into bank,0,,,1,,,thnku,2015
29,34,sw fs overcrook,ledge,bank to ledge,0,,,1,,,thnku,2015
30,35,fs kickflip,gap,,0,,,0,,,thnku,2015
31,36,sw bs tailslide to regular,handrail,9,0,0,0,0,1,0,thnku,2015
32,36,sw bs tailslide to regular,handrail,9,0,0,0,0,1,0,thnku,2015
33,37,kickflip to bs 5050,ledge,into bank,0,0,0,1,0,0,thnku,2015
1,1,fs 5050,ledge,barrier,0,0,0,0,0,0,DEBRI2,2014
2,2,sw fs heelflip,flat,,3,0,0,0,1,1,DEBRI2,2014
2,3,ollie ,flat,up curb,0,0,0,0,0,1,DEBRI2,2014
2,4,kickflip fs 5050 to bs 180,ledge,into bank,0,0,0,1,0,1,DEBRI2,2014
3,5,fs 5050 to bs 180,rail,,0,0,,,0,0,DEBRI2,2014
4,6,fs 5050 to bs 180,ledge,,0,0,,,0,1,DEBRI2,2014
4,7,sw heelflip,flat,,0,0,,,1,1,DEBRI2,2014
4,8,sw fs nosegrind,ledge,into bank,0,0,,,1,1,DEBRI2,2014
5,9,fs 5-0 to fs 180,ledge,,0,0,,,0,1,DEBRI2,2014
5,10,sw tre flip,flat,,0,0,,,1,1,DEBRI2,2014
5,11,bs crook to fakie,ledge,into bank,0,0,,,0,1,DEBRI2,2014
6,12,nollie to bs crook,handrail,7,0,0,0,,1,0,DEBRI2,2014
7,13,sw tre flip,gap,,0,0,0,0,1,1,DEBRI2,2014
8,14,sw fs tailslide,ledge,outledge,0,0,0,0,1,1,DEBRI2,2014
9,15,no comply fs 180,gap,into bank,0,0,0,1,0,0,DEBRI2,2014
10,16,fs shuv,gap,3 block,0,0,,0,0,0,DEBRI2,2014
11,17,sw bs 180,flat,,0,0,,0,1,1,DEBRI2,2014
11,18,wallie bs boardslide to fakie,transition,barrier,0,0,0,1,0,1,DEBRI2,2014
12,19,bs boardslide to fakie,transition,barrier,0,,,1,0,1,DEBRI2,2014
12,20,fakie kickflip,flat,,2,,,0,0,1,DEBRI2,2014
12,21,sw fs shuv,flat,curb cut,0,,,1,1,1,DEBRI2,2014
13,22,sw fs shuv,gap,,0,,,0,1,0,DEBRI2,2014
14,23,fakie kickflip,gap,into bank,0,,,1,0,0,DEBRI2,2014
15,24,sw fs 180 to manny to bs 180,manny pad,,0,,,0,1,0,DEBRI2,2014
16,25,manny to gap to manny,manny pad,,0,,,0,0,0,DEBRI2,2014
17,26,fs boardslide,transition,barrier,0,,,1,0,1,DEBRI2,2014
17,27,tre flip,flat,,0,,,0,0,1,DEBRI2,2014
18,28,fs boardslide to fakie,transition,barrier,0,,,1,0,0,DEBRI2,2014
19,29,slappy bs 5050 to fs 180,ledge,into bank,0,,,1,0,0,DEBRI2,2014
20,29,fakie kickflip,ledge,,0,,,0,0,0,DEBRI2,2014
21,30,nollie fs 180 to sw bs crook,ledge,,0,,,0,1,1,DEBRI2,2014
21,31,fakie bs 5050 to sw fs 180,ledge,,0,,,0,0,1,DEBRI2,2014
21,32,nollie bs heelflip,flat,,1,,,0,1,1,DEBRI2,2014
22,33,sw fs lipslide,ledge,bank to ledge,0,,,1,1,0,DEBRI2,2014
23,34,sw bs feeble,handrail,9,0,,,0,1,0,DEBRI2,2014
24,35,sw kickflip,gap,bump to barrel,0,,,1,1,0,DEBRI2,2014
25,36,bs boardslide to sw manny,handrail,8,0,,,0,0,0,DEBRI2,2014
26,37,sw tre flip,flat,flat gap,0,,,0,1,0,DEBRI2,2014
27,38,sw bs crook,ledge,blubba,0,,,0,1,0,DEBRI2,2014
28,39,sw fs noseblunt ,ledge,bank to ledge,0,,,1,1,0,DEBRI2,2014
29,40,nollie fs 180 to sw bs crook,handrail,9,0,,,0,1,0,DEBRI2,2014
1,1,sw bs crook,ledge,outledge,0,0,1,0,1,0,insano,2016
