obstacle,year,cnt
bank,1994,1
bank,1997,2
bank,2005,7
bank,2007,1
bank,2008,2
bank,2009,3
bank,2010,1
bank,2011,1
bank,2013,2
bank to bank,2013,1
curb,2013,1
flat,1991,14
flat,1992,4
flat,1994,16
flat,1997,11
flat,1998,2
flat,2000,5
flat,2003,4
flat,2005,11
flat,2007,3
flat,2008,8
flat,2009,7
flat,2010,6
flat,2011,7
flat,2012,5
flat,2013,4
flat,2015,1
gap,1991,2
gap,1992,2
gap,1994,11
gap,1996,1
gap,1997,2
gap,2000,6
gap,2003,6
gap,2005,2
gap,2007,11
gap,2008,5
gap,2009,7
gap,2010,1
gap,2011,5
gap,2012,2
gap,2013,5
hip,1998,1
hip,2005,1
hip,2008,1
launch,1991,1
launch,1998,1
launch,1999,1
ledge,1991,5
ledge,1992,4
ledge,1994,33
ledge,1996,1
ledge,1997,8
ledge,1998,4
ledge,1999,2
ledge,2000,10
ledge,2003,10
ledge,2005,3
ledge,2007,25
ledge,2008,22
ledge,2009,8
ledge,2010,16
ledge,2011,12
ledge,2012,7
ledge,2013,6
ledge,2015,2
manual pad,1991,1
manual pad,2008,1
over rail,2003,1
pole jam,2008,2
rail,1991,1
rail,1992,1
rail,1994,8
rail,1996,2
rail,1997,9
rail,1998,1
rail,2000,5
rail,2003,1
rail,2005,5
rail,2007,3
rail,2008,1
rail,2009,1
rail,2010,3
rail,2011,2
rail,2012,1
rail,2013,5
rail,2015,1
stairs,1991,11
stairs,1994,9
stairs,2000,1
stairs,2003,1
stairs,2007,2
stairs,2008,1
stairs,2013,1
transition,1991,14
transition,1994,5
transition,1997,2
transition,2000,1
transition,2003,7
transition,2005,23
transition,2007,18
transition,2008,22
transition,2009,6
transition,2010,8
transition,2011,18
transition,2012,14
transition,2013,10
transition,2015,10
wall,2003,5
wall,2005,3
wall,2007,9
wall,2008,6
wall,2009,4
wall,2010,3
wall,2011,5
wall,2012,2
wall,2013,1
wall,2015,4
