year,obstacle,count
1992,stairs,15
1992,handrail,8
1992,ledge,49
1993,handrail,0
1993,ledge,24
1993,stairs,4
1994,stairs,5
1994,handrail,0
1994,ledge,12
1995,handrail,0
1995,stairs,0
1995,ledge,5
1996,handrail,17
1996,stairs,2
1996,ledge,26
1999,stairs,2
1999,ledge,10
1999,handrail,4
2000,handrail,23
2000,ledge,22
2000,stairs,3
2002,handrail,4
2002,ledge,20
2002,stairs,2
2003,ledge,17
2003,handrail,28
2003,stairs,8
2007,ledge,11
2007,stairs,16
2007,handrail,10
2012,ledge,4
2012,handrail,0
2012,stairs,4
2015,ledge,7
2015,handrail,3
2015,stairs,0
