obstacle,year,cnt
Bank,1994,1
Bank,1997,2
Bank,2005,7
Bank,2007,1
Bank,2008,2
Bank,2009,3
Bank,2010,1
Bank,2011,1
Bank,2013,2
Flat,1991,14
Flat,1992,4
Flat,1994,16
Flat,1997,11
Flat,1998,2
Flat,2000,5
Flat,2003,4
Flat,2005,11
Flat,2007,3
Flat,2008,8
Flat,2009,7
Flat,2010,6
Flat,2011,7
Flat,2012,5
Flat,2013,4
Flat,2015,1
Gap,1991,2
Gap,1992,2
Gap,1994,11
Gap,1996,1
Gap,1997,2
Gap,2000,6
Gap,2003,6
Gap,2005,2
Gap,2007,11
Gap,2008,5
Gap,2009,7
Gap,2010,1
Gap,2011,5
Gap,2012,2
Gap,2013,5
Ledge,1991,5
Ledge,1992,4
Ledge,1994,33
Ledge,1996,1
Ledge,1997,8
Ledge,1998,4
Ledge,1999,2
Ledge,2000,10
Ledge,2003,10
Ledge,2005,3
Ledge,2007,25
Ledge,2008,22
Ledge,2009,8
Ledge,2010,16
Ledge,2011,12
Ledge,2012,7
Ledge,2013,6
Ledge,2015,2
Rail,1991,1
Rail,1992,1
Rail,1994,8
Rail,1996,2
Rail,1997,9
Rail,1998,1
Rail,2000,5
Rail,2003,1
Rail,2005,5
Rail,2007,3
Rail,2008,1
Rail,2009,1
Rail,2010,3
Rail,2011,2
Rail,2012,1
Rail,2013,5
Rail,2015,1
Stairs,1991,11
Stairs,1994,9
Stairs,2000,1
Stairs,2003,1
Stairs,2007,2
Stairs,2008,1
Stairs,2013,1
Transition,1991,14
Transition,1994,5
Transition,1997,2
Transition,2000,1
Transition,2003,7
Transition,2005,23
Transition,2007,18
Transition,2008,22
Transition,2009,6
Transition,2010,8
Transition,2011,18
Transition,2012,14
Transition,2013,10
Transition,2015,10
Wall,2003,5
Wall,2005,3
Wall,2007,9
Wall,2008,6
Wall,2009,4
Wall,2010,3
Wall,2011,5
Wall,2012,2
Wall,2013,1
Wall,2015,4
Flannel, 2011,6
