"","trick","count"
"1","ollie",35
"2","bs bigspin",12
"3","bs kickflip",12
"4","kickflip",11
"5","sw heelflip",10
"6","halfcab flip",9
"7","wallie",9
"8","fs shuv",8
"9","bs tailslide",6
"10","bs 180",5
"11","sw bs 180",5
"12","sw bs crook",5
"13","sw bs crook to regular",5
"14","bs crook",4
"15","fs kickflip",4
"16","fs nosegrind",4
"17","nollie heelflip",4
"18","sw bs kickflip",4
"19","sw fs nosegrind",4
"20","sw ollie",4
"21","bs boardslide to fakie",3
"22","bs darkslide to fakie",3
"23","bs kickflip ",3
"24","caveman to fs nosegrind",3
"25","fs 360",3
"26","fs 5-0",3
"27","fs noseblunt slide",3
"28","hippie jump",3
"29","nollie bs heelflip",3
"30","nollie fs heelflip",3
"31","sw fs 5-0",3
"32","sw fs boardslide",3
"33","sw tre",3
"35","varial heelflip",3
