"obstacle","year","cnt"
Flat,2007,5
Flat,2008,7
Flat,2009,4
Flat,2010,5
Flat,2015,15
Flat,2016,19
Flat,2018,6
Flat,2019,1
Flat,2020,3
Flannel,2007,19
Flannel,2008,11
Flannel,2009,13
Flannel,2010,9
Flannel,2015,20
Flannel,2016,19
Flannel,2018,1
Flannel,2019,3
Flannel,2020,6
Gap,2004,5
Gap,2007,15
Gap,2008,5
Gap,2009,8
Gap,2010,4
Gap,2015,7
Gap,2016,4
Gap,2018,2
Gap,2019,3
Handrail,2004,4
Handrail,2007,6
Handrail,2008,2
Handrail,2009,4
Handrail,2015,4
Handrail,2016,1
Handrail,2018,1
Hubba,2004,1
Hubba,2007,3
Hubba,2008,2
Hubba,2009,7
Hubba,2010,1
Hubba,2015,7
Hubba,2016,4
Hubba,2018,1
Ledge,2004,3
Ledge,2007,11
Ledge,2008,8
Ledge,2009,8
Ledge,2010,2
Ledge,2015,39
Ledge,2016,24
Ledge,2018,7
Ledge,2019,6
Ledge,2020,7
Stairs,2007,3
Stairs,2008,5
Stairs,2009,3
Stairs,2015,5
Stairs,2016,2
Switch,2004,4
Switch,2007,18
Switch,2008,12
Switch,2009,18
Switch,2010,2
Switch,2015,47
Switch,2016,21
Switch,2018,8
Switch,2019,5
Switch,2020,3
Transition,2004,2
Transition,2007,1
Transition,2008,14
Transition,2009,1
Transition,2010,9
Transition,2015,17
Transition,2016,14
Transition,2018,10
Wall,2007,1
Wall,2008,1
Wall,2015,1
Wall,2016,5
Wall,2018,1
Wall,2019,2
