"obstacle","year","cnt"
"Flat",2011,12.5925925925926
"Flat",2012,7.69230769230769
"Flat",2013,11.5
"Flat",2014,18.75
"Flat",2015,10.8108108108108
"Flat",2016,11.6279069767442
"Flat",2017,9.52380952380952
"Flat",2018,3.50877192982456
"Flat",2020,6.61764705882353
"Flat",2021,25
"Gap",2011,16.2962962962963
"Gap",2012,30.7692307692308
"Gap",2013,18
"Gap",2014,10.4166666666667
"Gap",2015,12.1621621621622
"Gap",2016,13.953488372093
"Gap",2017,14.2857142857143
"Gap",2018,12.280701754386
"Gap",2020,8.82352941176471
"Gap",2021,8.33333333333333
"Handrail",2011,22.2222222222222
"Handrail",2012,12.8205128205128
"Handrail",2013,26.5
"Handrail",2014,9.375
"Handrail",2015,31.0810810810811
"Handrail",2016,23.2558139534884
"Handrail",2017,9.52380952380952
"Handrail",2018,29.8245614035088
"Handrail",2020,29.4117647058824
"Ledge",2011,11.8518518518519
"Ledge",2012,33.3333333333333
"Ledge",2013,23
"Ledge",2014,28.125
"Ledge",2015,10.8108108108108
"Ledge",2016,11.6279069767442
"Ledge",2018,10.5263157894737
"Ledge",2020,25.7352941176471
"Ledge",2021,58.3333333333333
"Manual",2011,1.48148148148148
"Manual",2013,0.5
"Manual",2014,1.04166666666667
"Manual",2015,4.05405405405405
"Manual",2016,4.65116279069767
"Manual",2020,2.20588235294118
"Stairs",2011,20
"Stairs",2012,5.12820512820513
"Stairs",2013,8
"Stairs",2014,12.5
"Stairs",2015,8.10810810810811
"Stairs",2016,18.6046511627907
"Stairs",2017,9.52380952380952
"Stairs",2018,19.2982456140351
"Stairs",2020,21.3235294117647
"Switch",2011,24.4444444444444
"Switch",2012,10.2564102564103
"Switch",2013,18.5
"Switch",2014,28.125
"Switch",2015,18.9189189189189
"Switch",2016,16.2790697674419
"Switch",2017,14.2857142857143
"Switch",2018,19.2982456140351
"Switch",2020,22.0588235294118
"Switch",2021,66.6666666666667
"Transition",2012,2.56410256410256
"Transition",2013,1
"Transition",2014,12.5
"Transition",2015,1.35135135135135
"Transition",2017,52.3809523809524
"Transition",2018,12.280701754386
