video,perc_stair,perc_ledge,perc_manual,perc_transition,perc_handrail,perc_flat,perc_distinct,perc_slowmo,perc_switch,perc_fs,perc_bs
Since_Day_One,17.0,10.0,0.0,0.0,28.0,12.0,72.0,22.0,26.0,38.0,35.0
Told_Ya,14.0,12.0,5.0,0.0,23.0,12.0,81.0,2.0,17.0,36.0,24.0
Push_Part,14.0,2.0,0.0,2.0,45.0,0.0,82.0,20.0,20.0,32.0,48.0
Wair_n_Tear,16.0,30.0,2.0,2.0,10.0,19.0,75.0,0.0,29.0,29.0,41.0
Godspeed,7.0,28.0,6.0,0.0,13.0,11.0,86.0,0.0,35.0,31.0,35.0
Be_Free,10.0,24.0,0.0,0.0,40.0,4.0,95.0,32.0,18.0,55.0,47.0
Sabotage3,31.0,33.0,0.0,3.0,13.0,8.0,74.0,3.0,11.0,39.0,34.0
Sabotage4,10.0,23.0,10.0,0.0,10.0,27.0,90.0,0.0,20.0,33.0,40.0
Back_on_My_BS,12.0,11.0,0.0,12.0,30.0,4.0,81.0,5.0,19.0,37.0,49.0
Nike_SB_Chronicles,19.0,21.0,0.0,1.0,36.0,8.0,73.0,2.0,10.0,40.0,48.0
Chronicling_Ishod,19.0,17.0,0.0,0.0,31.0,8.0,79.0,12.0,26.0,45.0,38.0
ECVX14,13.0,28.0,1.0,14.0,9.0,13.0,80.0,0.0,32.0,41.0,30.0
Welcome_to_Parade,8.0,58.0,0.0,0.0,0.0,25.0,100.0,0.0,67.0,25.0,58.0
Paych,4.0,30.0,0.0,7.0,11.0,33.0,96.0,0.0,22.0,37.0,37.0
Bonus_Reel,15.0,15.0,4.0,0.0,13.0,13.0,80.0,2.0,24.0,33.0,33.0
PH3,14.0,0.0,0.0,52.0,10.0,10.0,105.0,0.0,15.0,45.0,25.0
