"trick","obstacle","cnt"
"ollie","gap",22
"bs 5050","rail",16
"kickflip","gap",13
"bs crook","rail",12
"bs lipslide","rail",12
"fs 5050","rail",12
"fs feeble","rail",10
"fs smith","rail",10
"bs overcrook","rail",9
"fs kickflip","gap",9
"kickflip","flat",9
"bs boardslide","rail",8
"fs 5-0","rail",8
"tre flip","flat",8
"wallie","wall",8
"bs kickflip","gap",7
"bs smith","rail",7
"fs kickflip","stairs",7
"kickflip","stairs",7
"sw heelflip","stairs",7
"bs bigspin","stairs",6
"bs lipslide","ledge",6
"fs noseblunt","ledge",6
"fs tailslide to fakie","ledge",6
"ollie","stairs",6
"sw tre flip","flat",6
"bs 180","gap",5
"fakie kickflip","flat",5
"fs 180","gap",5
"fs heelflip","gap",5
"fs tailslide","ledge",5
"hardflip","gap",5
"hardflip","stairs",5
"nollie to bs crook","rail",5
"sw fs kickflip","stairs",5
"tre flip","gap",5
"bs bigspin","flat",4
"bs feeble","rail",4
"fs 180 to sw bs crook","rail",4
"fs blunt","rail",4
"fs boardslide","rail",4
"fs kickflip","flat",4
"fs shuv","gap",4
"heelflip","stairs",4
"kickflip to fs boardslide","rail",4
"nollie bs kickflip","stairs",4
"nollie kickflip","flat",4
"nollie kickflip","stairs",4
"nollie to fs feeble","rail",4
"bs 180","flat",3
"bs 5050","ledge",3
"bs kickflip","flat",3
"bs noseblunt","rail",3
"bs tailslide","transition",3
"bs tailslide to bs kickflip","ledge",3
"fakie fs kickflip","stairs",3
"fs blunt","ledge",3
"fs lipslide","rail",3
"fs shuv","flat",3
"halfcab kickflip","flat",3
"halfcab kickflip","stairs",3
"halfcab to bs crook","rail",3
"heelflip","flat",3
"kickflip to bs boardslide","rail",3
"kickflip to bs crook","ledge",3
"kickflip to bs lipslide","rail",3
"kickflip to bs smith","rail",3
"kickflip to fs 5050","rail",3
"kickflip to fs crook","rail",3
"nollie heelflip","flat",3
"sw bs crook","ledge",3
"sw fs bigspin","gap",3
"sw fs heelflip","flat",3
"sw heelflip","flat",3
"sw heelflip","gap",3
"sw kickflip","gap",3
"sw kickflip to sw bs crook","ledge",3
"tre flip","stairs",3
"tre flip to 5050","rail",3
"varial heelflip","gap",3
"varial heelflip","stairs",3
"bs 180 to sw bs 5-0","rail",2
"bs 360","flat",2
"bs 360 kickflip","gap",2
"bs blunt","rail",2
"bs boardslide","stairs",2
"bs heelflip","stairs",2
"bs kickflip","stairs",2
"bs noseblunt to fakie","ledge",2
"bs tailslide","ledge",2
"fakie fs 180","flat",2
"fakie fullcab","stairs",2
"fakie kickflip","stairs",2
"fakie tre flip","flat",2
"fs 180","flat",2
"fs 180","transition",2
"fs 180 to sw bs crook","ledge",2
"fs 180 to sw fs 5-0 to regular","ledge",2
"fs 270 to bs lip to regular","rail",2
"fs 360","stairs",2
"fs 5-0","transition",2
"fs bigspin","stairs",2
"fs boardslide","ledge",2
"fs boardslide to fakie","rail",2
"fs lipslide","transition",2
"fs noseblunt","rail",2
"fs nosegrind","rail",2
"fs noseslide","ledge",2
