clip_index,trick_index,trick,obstacle,obstacle_detailer,stair_count,slowmo,bank,switch,line,video,year,comments
1,1,fs 180,gap,bump to gap,0,1,1,0,0,Since Day One,2011,
2,2,fs boardslide,ledge,bank to ledge,0,1,1,0,0,Since Day One,2011,
3,3,bs lipslide,rail,handrail,0,1,0,0,0,Since Day One,2011,
4,4,sw fs kickflip,stairs,0,10,1,0,1,0,Since Day One,2011,
5,5,sw bs kickflip,stairs,0,11,1,0,1,0,Since Day One,2011,
6,6,bs feeble,rail,handrail,0,1,0,0,0,Since Day One,2011,
7,7,bs lipslide,rail,bump to rail,0,1,1,0,0,Since Day One,2011,
8,8,kickflip,gap,bump to gap,0,1,1,0,0,Since Day One,2011,
9,9,sw fs bigspin,gap,bump to gap,0,1,1,1,0,Since Day One,2011,
10,10,ollie,gap,bump to gap,0,1,1,0,0,Since Day One,2011,
11,11,fs feeble,rail,handrail,12,1,0,0,0,Since Day One,2011,
12,12,nollie bs heelflip,gap,3 block,0,1,0,1,0,Since Day One,2011,
13,13,nollie kickflip,stairs,0,5 flat 5,1,0,1,0,Since Day One,2011,
14,14,ollie,stairs,over rail,12,0,0,0,0,Since Day One,2011,
15,15,wallie,wall,0,0,0,0,0,1,Since Day One,2011,
15,16,nollie kickflip,flat,0,0,0,0,1,1,Since Day One,2011,
15,17,bs lipslide,ledge,0,0,0,0,0,1,Since Day One,2011,
16,18,bs feeble to bs lipslide,rail,handrail,0,0,0,0,0,Since Day One,2011,
17,19,fs boardslide,rail,out rail,3 flat 4,0,0,0,0,Since Day One,2011,
18,20,suicide 5050,rail,handrail,8,0,0,0,0,Since Day One,2011,
19,21,kickflip,up,stairs,3,0,0,0,1,Since Day One,2011,
19,22,nollie kickflip,stairs,0,3,0,0,1,1,Since Day One,2011,
19,23,kickflip to fs boardslide,rail,handrail,8,0,0,0,1,Since Day One,2011,
20,24,nollie kickflip to bs boardslide,rail,handrail,8,0,0,1,0,Since Day One,2011,
21,25,fs tailslide to fakie,ledge,0,0,0,0,0,1,Since Day One,2011,
21,26,sw tre flip,flat,0,0,0,0,1,1,Since Day One,2011,
21,27,sw fs blunt,ledge,0,0,0,0,1,1,Since Day One,2011,
22,28,nollie to bs crook,rail,handrail,10,0,0,1,0,Since Day One,2011,
23,29,fs smith to fs 180,rail,handrail,8,0,0,0,0,Since Day One,2011,
24,30,sw fs bigspin to bs boardslide,rail,handrail,9,0,0,1,0,Since Day One,2011,
25,31,sw kickflip to sw fs boardslide,rail,handrail,7,0,0,1,0,Since Day One,2011,
26,32,360 shuv,gap,bump to bump,0,0,0,0,0,Since Day One,2011,
27,33,ollie,gap,hip,0,0,1,0,0,Since Day One,2011,
28,34,sw fs shuv,gap,0,0,0,0,1,0,Since Day One,2011,
29,35,tre flip,stairs,0,12,0,0,0,0,Since Day One,2011,
30,36,hardflip,stairs,0,13,0,0,0,0,Since Day One,2011,
31,37,kickflip,flat,0,0,0,0,0,1,Since Day One,2011,
31,38,nollie to fs nosegrind,ledge,0,0,0,0,1,1,Since Day One,2011,
31,39,nollie heelflip,flat,0,0,0,0,1,1,Since Day One,2011,
31,40,fs 180 to sw bs crook,rail,handrail,8,0,0,0,1,Since Day One,2011,
32,41,fs 180 to sw bs crook to regular,rail,into bank,0,0,1,0,1,Since Day One,2011,
32,42,bs bigspin,flat,0,0,0,0,0,1,Since Day One,2011,
32,43,fs 5050 to bs 180,rail,into bank,0,0,1,0,1,Since Day One,2011,
33,44,sw kickflip,gap,love gap,0,0,0,1,0,Since Day One,2011,
34,45,halfcab kickflip,flat,0,0,0,0,0,1,Since Day One,2011,
34,46,bs 180,gap,over rail,0,0,1,0,1,Since Day One,2011,
35,47,ollie,up,stairs,3,0,0,0,1,Since Day One,2011,
35,48,fs nosegrind,rail,0,0,0,0,0,1,Since Day One,2011,
36,49,bs smith,rail,handrail,13,0,0,0,0,Since Day One,2011,
37,50,bs boardslide,rail,bump to rail,0,0,0,0,0,Since Day One,2011,
38,51,fs smith,rail,handrail,2 flat 2,0,0,0,0,Since Day One,2011,
39,52,bs boardslide,rail,around corner,0,0,0,0,0,Since Day One,2011,
40,53,bs kickflip,gap,over rail,12,0,0,0,0,Since Day One,2011,
41,54,kickflip,stairs,0,12,0,0,0,0,Since Day One,2011,
42,55,ollie,gap,0,0,0,0,0,0,Since Day One,2011,
43,56,fakie kickflip,up,curb,0,0,0,0,1,Since Day One,2011,
43,57,sw heelflip,stairs,0,3 flat 3,0,0,1,1,Since Day One,2011,
44,58,fs 5050,rail,0,0,0,0,0,1,Since Day One,2011,
44,59,nollie tre flip,flat,0,0,0,0,1,1,Since Day One,2011,
44,60,hardflip,gap,over rail,0,0,1,0,1,Since Day One,2011,
45,61,bs lipslide,rail,handrail,14,0,0,0,0,Since Day One,2011,
46,62,bs bigspin,stairs,0,11,0,0,0,0,Since Day One,2011,
47,63,nollie bs kickflip,stairs,0,10,0,0,1,0,Since Day One,2011,
48,64,fs heelflip,stairs,0,4 flat 4,0,0,0,0,Since Day One,2011,
49,65,fs 360,stairs,0,4 flat 3,0,0,0,0,Since Day One,2011,
50,66,fs kickflip,gap,to hillbomb,0,0,1,0,0,Since Day One,2011,
51,67,kickflip to bs boardslide,rail,handrail,10,0,0,0,0,Since Day One,2011,
52,68,fs boardslide,rail,handrail,5 flat 5,0,0,0,0,Since Day One,2011,
53,68,fs boardslide,rail,handrail,6 flat 5,0,0,0,0,Since Day One,2011,
54,69,kickflip,stairs,over rail,13,0,0,0,0,Since Day One,2011,
55,70,bs 5050,rail,handrail,12,0,0,0,0,Since Day One,2011,
56,71,kickflip to fs 5050,ledge,hubba,10,1,0,0,1,Since Day One,2011,
56,72,tre flip,flat,0,0,0,0,0,1,Since Day One,2011,
57,73,heelflip,stairs,over rail,12,1,0,0,1,Since Day One,2011,
57,74,bs bigspin,flat,0,0,0,0,0,1,Since Day One,2011,
57,75,sw big heel,flat,0,0,0,0,1,1,Since Day One,2011,
58,76,fs 5-0,rail,handrail,17,0,0,0,0,Since Day One,2011,
59,77,fs feeble,rail,handrail,17,1,0,0,0,Since Day One,2011,
60,78,fs 180 to sw bs crook,ledge,hubba,11,1,0,0,0,Since Day One,2011,
61,78,fs 180 to sw bs crook,ledge,hubba,11,1,0,0,0,Since Day One,2011,
62,79,fs 270 to bs lip to regular,rail,handrail,13,0,0,0,0,Since Day One,2011,
63,79,fs 270 to bs lip to regular,rail,handrail,13,0,0,0,0,Since Day One,2011,
65,80,bs feeble to fs 180,rail,0,0,0,0,0,0,Since Day One,2011,
1,1,sw big heel,gap,0,0,1,0,1,0,Told Ya,2016,
2,2,halfcab to bs crook,rail,handrail,14,0,0,0,0,Told Ya,2016,
3,3,sw heelflip,stairs,0,7 flat 3,0,0,1,0,Told Ya,2016,
4,4,wallie to fs smith,rail,handrail,7,0,0,0,1,Told Ya,2016,
4,5,heelflip,flat,0,0,0,0,0,1,Told Ya,2016,
