"","trick","count"
"1","ollie",11
"2","sw bs 180",11
"3","fs heelflip",10
"4","sw bs kickflip",10
"5","sw heelflip",9
"6","bs crook",7
"7","kickflip",7
"8","sw kickflip to sw bs tailslide to regular",7
"9","sw tre flip",6
"10","fs 180",5
"11","fs 360",5
"12","kickflip to bs crook",5
"13","nollie kickflip to bs crook",5
"14","barley grind",4
"15","sw big heel",4
"16","sw bs feeble",4
"17","sw bs heelflip",4
"18","sw fs heelflip",4
"19","sw ollie",4
"20","sw tre flip to sw fs lipslide to regular",4
"21","fs 180 to sw fs boardslide",3
"22","fs shuv to bs boardslide",3
"23","heelflip to bs crook",3
"24","nollie fs 360",3
"25","nollie heelflip",3
"26","nollie heelflip to bs boardslide",3
"27","sw kickflip",3
