clip-index,trick-index,trick,switch / nollie,line,slowmo,obstacle,obstacle-detailed,location,video,year,notes,crust,,

1,1,bs 180,,1,,flat,,,The Brotherhood,1991,,,,

1,2,fakie bs shove,,1,,flat,,,The Brotherhood,1991,,,,

1,3,fakie bs bigspin,,1,,flat,,,The Brotherhood,1991,entire part filmed in one day,,,

1,4,fs shove,,1,,flat,,,The Brotherhood,1991, ,,, 

1,5,bs bigspin,,1,,flat,,,The Brotherhood,1991, ,,,

1,6,bs shove,,1,,flat,,,The Brotherhood,1991,,,,

1,7,impossible,,1,,flat,,,The Brotherhood,1991,,,,

2,8,nose bonk,,,,flat,to drop,,The Brotherhood,1991,,,,

3,9,bs noseslide,,,,rail,,,The Brotherhood,1991,,,,

4,10,bs 180,,,,stairs,,,The Brotherhood,1991,,,, 

5,11,nose manual,,,,manual pad,to drop,,The Brotherhood,1991,,,, 

6,12,fs tailslide,,,,ledge,out ledge,,The Brotherhood,1991,,,,

7,13,impossible,,,,flat,to drop,,The Brotherhood,1991,all impossibles sort of 360 shove style,,,

8,14,switch boardslide to regular,1,,,ledge,out ledge,,The Brotherhood,1991,,,, 

9,15,bs bigspin,,,,stairs,,,The Brotherhood,1991,,,,

10,16,impossible,,,,stairs,,,The Brotherhood,1991,,,,

11,17,360 flip,,,,stairs,,,The Brotherhood,1991,,,,

12,18,bs 360 ollie,,,,stairs,,,The Brotherhood,1991,,,,

13,19,impossible,,,,stairs,,,The Brotherhood,1991,,,,

14,20,nollie,1,1,,stairs,,,The Brotherhood,1991,,,,

15,21,impossible,,1,,flat,,,The Brotherhood,1991,plus rollaway flat tricks,,,

1,1,bs noseblunt to bs revert,,,,transition,quarter,,Stacked,1991,mostly filmed in same day,,,

2,2,fs noseblunt to bs revert,,,,transition,quarter,,Stacked,1991,,,,

3,3,fs noseblunt to bs nosepick,,,,transition,quarter,,Stacked,1991,quarter in Granny's yard,,,

4,4,fs noseblunt to tailgrab bs shove,,,,transition,quarter,,Stacked,1991,,,,

5,5,bs shove to fs noseblunt to fs revert,,,,transition,quarter,,Stacked,1991,,,,

6,6,fs varial heelflip,,,,flat,,,Stacked,1991,,,,

7,7,fs 180,,,,stairs,,,Stacked,1991,,,,

8,8,ollie late fs shove,,,1,stairs,,,Stacked,1991,,,,

9,9,switch front foot impossible,1,,,stairs,,,Stacked,1991,,,,

10,10,bs 360 ollie,,,,stairs,,,Stacked,1991,,,,

11,11,fs ollie,,,,gap,quarter to quarter,,Stacked,1991, ,,,

12,12,front foot impossible,,,,launch,indoor park,,Stacked,1991,,,,

13,13,fs ollie sal flip,,,,transition,indoor park,,Stacked,1991,,,,

14,14,ollie late fs shove to fakie,,,,transition,indoor park,,Stacked,1991,,,,

15,15,fs ollie late fs shove,,,,transition,indoor park,,Stacked,1991,,,,

16,16,bs bigspin disaster,,1,,transition,mini ramp,,Stacked,1991,,,,

16,17,fs tail stall to fs body varial,,,,transition,mini ramp,,Stacked,1991,,,,

17,18,front foot impossible to fakie,,,,transition,mini ramp,,Stacked,1991,,,,

18,19,fs shove rock to fakie,,,,transition,mini ramp,,Stacked,1991,,,,

19,20,bs bigspin disaster to bs revert,,,,transition,mini ramp,,Stacked,1991,,,,

20,21,fs tail stall to fs body varial,,,,transition,mini ramp,,Stacked,1991,,,,

21,22,bs half cab to bs noseslide,,,,ledge,to drop,,Stacked,1991,,,,

22,23,nose bonk,,1,,ledge,,,Stacked,1991,,,,

22,24,impossible,,1,,flat,to drop,,Stacked,1991,,,,

22,25,ollie late shove,,1,,flat,to drop,,Stacked,1991,,,,

23,26,switch bs boardslide to fs 50-50,,,,ledge,,,Stacked,1991,,,,

24,27,fa varial heelflip,,,,flat,to drop,,Stacked,1991,,,,

25,28,ollie,,,,gap,,,Stacked,1991,,,,

1,1,switch bs noseslide,1,,,ledge,,,Disturbed,1992,shared part,,,

2,2,switch fs 180,1,,,gap,,Carlsbad,Disturbed,1992,not the big Carlsbad gap,,,

3,3,bs noseslide,,,,ledge,,,Disturbed,1992,,,,

4,4,switch kickflip,1,,,flat,street hip,,Disturbed,1992,,,,

5,5,ollie late back foot bs varial kickflip,,,,flat,street hip,,Disturbed,1992,,,,

6,6,bs 180 late kickflip,,,,flat,street hip,,Disturbed,1992,,,,

7,7,bs boardslide,,,,rail,kinked handrail,,Disturbed,1992,also shows slam on bs 50-50 attempt,,,

8,8,ollie  ,,,,gap,,,Disturbed,1992,,,,

9,9,switch bs bluntslide to regular,1,,,ledge,curb,,Disturbed,1992,,,,

10,10,fakie fs nosegrind to bs crooked to fakie,,,,ledge,curb,,Disturbed,1992,,,,

11,11,bs early grab,,,,flat,street hip,,Disturbed,1992,,,,

1,1,nollie bs noseslide,1,,,ledge,hubba,City Hall,Eastern Exposure 2,1994,opening credits,,,

2,2,nollie hardflip,1,,,stairs,,City Hall,Eastern Exposure 2,1994,Sub-Zero team ad,,,

3,3,switch bs 5-0,1,,,ledge,,,Eastern Exposure 2,1994,Eatontown section,,,

4,4,bs kickflip,,1,,flat,,Love Park,Eastern Exposure 2,1994,,,,

4,5,switch bs 5-0 to bs 180,1,1,,ledge,,Love Park,Eastern Exposure 2,1994,,,,

