,video,year,perc_switch,perc_slowmo,perc_fs,perc_bs,perc_ledge,perc_transition,perc_handrail,perc_stair,perc_pool,perc_ditch,perc_flat,perc_crust,perc_wallride,perc_footdown,perc_yankout
0,The_Brotherhood,1991,10,0,10,43,10,0,0,0,0,0,48,0,0,0,0
1,Stacked,1991,4,4,54,36,11,50,0,7,0,0,14,0,0,0,0
2,Disturbed,1992,36,0,18,73,36,0,0,18,0,0,36,0,0,0,0
3,Eastern_Exposure_2,1994,72,0,22,50,53,0,0,0,0,0,16,0,0,0,0
4,411_#8,1994,71,0,41,29,53,6,6,6,0,0,29,0,0,0,0
5,Real_Life,1994,50,0,36,36,30,11,16,16,0,0,19,0,3,0,0
6,Thrasher_Feats,1994,60,0,50,30,30,0,0,40,0,0,10,0,0,0,0
7,Eastern_Exposure_3,1996,0,75,50,25,25,0,0,25,0,0,0,0,0,0,0
8,Timecode,1997,21,3,47,24,24,6,9,6,0,6,32,9,0,0,3
9,TWS_Interface,1997,50,0,50,10,10,0,20,20,0,0,40,0,0,0,0
10,411_#_30_AWS_Ind,1998,67,0,44,33,44,0,0,0,0,0,22,11,0,0,0
11,Zoo_York_Peep_This,1999,33,0,33,33,67,0,0,0,0,0,0,0,0,0,0
12,Photosynthesis,2000,67,7,37,22,36,4,11,21,0,0,18,19,4,0,0
13,Collage,2001,80,0,60,20,40,0,0,0,0,0,60,0,0,0,0
14,Mosaic,2003,32,3,56,24,29,20,0,17,3,0,11,12,15,0,3
15,Decade_of_Destruction,2005,2,0,35,33,5,42,0,4,16,13,20,45,5,2,4
16,Inhabitants,2007,18,1,44,49,35,25,0,15,6,7,4,28,15,1,3
17,Last_of_the_Mohicans,2008,16,0,42,32,47,5,0,5,4,20,26,42,12,4,6
18,Brutality,2008,6,0,27,45,25,40,2,8,0,0,6,49,11,0,0
19,Frontside_Skate_Shop,2009,17,0,36,19,22,17,0,19,3,0,19,31,11,0,0
20,IPath_Promo,2009,24,6,47,41,24,18,0,12,0,0,18,35,6,0,0
21,Worst_Skater_of_the_Year,2010,9,0,43,40,43,23,3,3,0,33,17,46,0,0,0
22,Habitat_Origins,2010,0,0,100,0,33,0,33,0,6,11,0,0,11,0,6
23,The_Other_Ones,2011,17,5,17,52,23,37,0,7,5,12,14,19,14,5,0
24,Welcome_to_Seasons,2011,43,0,43,14,29,29,0,29,29,0,14,29,0,14,0
25,Real_Street,2012,6,0,39,33,17,44,6,11,17,17,17,39,0,6,6
26,Sober?,2012,0,0,38,38,31,46,0,0,15,0,15,46,23,15,0
27,Habitat_Search_the_Horizon,2013,33,0,67,33,100,0,0,0,0,0,0,0,0,0,12
28,Dirts_Win,2013,35,0,35,29,18,18,6,24,19,13,6,18,13,13,6
29,Domestics,2013,6,0,19,19,0,44,6,6,0,0,19,56,0,0,0
30,OJ_Wheels,2015,6,0,24,59,11,56,0,0,18,29,6,82,24,6,6
