"obstacle","year","cnt"
Flat,2005,10
Flat,2006,29.5454545454545
Flat,2008,11.6279069767442
Flat,2012,16.6666666666667
Flat,2013,5
Flat,2014,24.390243902439
Flat,2015,13.1578947368421
Flat,2016,9.67741935483871
Flat,2017,6.25
Flat,2018,22.4489795918367
Flat,2019,9.67741935483871
Gap,2005,25
Gap,2006,15.9090909090909
Gap,2008,20.9302325581395
Gap,2010,20
Gap,2012,14.5833333333333
Gap,2013,17.5
Gap,2014,14.6341463414634
Gap,2015,13.1578947368421
Gap,2016,14.5161290322581
Gap,2017,12.5
Gap,2018,16.3265306122449
Gap,2019,19.3548387096774
Handrail,2005,22.5
Handrail,2006,13.6363636363636
Handrail,2008,9.30232558139535
Handrail,2010,40
Handrail,2012,35.4166666666667
Handrail,2013,25
Handrail,2014,9.75609756097561
Handrail,2015,15.7894736842105
Handrail,2016,4.83870967741935
Handrail,2017,12.5
Handrail,2018,6.12244897959184
Handrail,2019,3.2258064516129
Ledge,2005,12.5
Ledge,2006,27.2727272727273
Ledge,2008,20.9302325581395
Ledge,2010,20
Ledge,2012,27.0833333333333
Ledge,2013,32.5
Ledge,2014,34.1463414634146
Ledge,2015,34.2105263157895
Ledge,2016,48.3870967741936
Ledge,2017,62.5
Ledge,2018,31.6326530612245
Ledge,2019,25.8064516129032
Manny Pad,2005,1
Manny Pad,2008,2.32558139534884
Manny Pad,2014,4.8780487804878
Manny Pad,2015,5.26315789473684
Manny Pad,2016,4.83870967741935
Manny Pad,2018,3.06122448979592
Manny Pad,2019,6.45161290322581
Flatbar,2005,2.5
Flatbar,2006,4.54545454545455
Flatbar,2008,11.6279069767442
Flatbar,2012,4.16666666666667
Flatbar,2013,10
Flatbar,2014,2.4390243902439
Flatbar,2015,5.26315789473684
Flatbar,2016,8.06451612903226
Flatbar,2017,6.25
Flatbar,2018,5.10204081632653
Flatbar,2019,25.8064516129032
Stairs,2005,10
Stairs,2006,2.27272727272727
Stairs,2008,6.97674418604651
Stairs,2010,8
Stairs,2012,2.08333333333333
Stairs,2013,7.5
Stairs,2015,2.63157894736842
Stairs,2016,3.2258064516129
Stairs,2018,4.08163265306122
Stairs,2019,3.2258064516129
Switch,2005,32.5
Switch,2006,45.4545454545455
Switch,2008,51.1627906976744
Switch,2010,32
Switch,2012,37.5
Switch,2013,37.5
Switch,2014,48.780487804878
Switch,2015,36.8421052631579
Switch,2016,46.7741935483871
Switch,2017,31.25
Switch,2018,30.6122448979592
Switch,2019,22.5806451612903
Transition,2006,4.54545454545455
Transition,2008,9.30232558139535
Transition,2010,8
Transition,2014,9.75609756097561
Transition,2015,7.89473684210526
Transition,2016,3.2258064516129
Transition,2018,7.14285714285714



