video,perc_stair,perc_ledge,perc_manual,perc_transition,perc_handrail,perc_curb,perc_flat,perc_distinct,perc_slowmo,perc_switch,perc_fs,perc_bs
thnku,13.0,34.0,0.0,8.0,16.0,0.0,13.0,95.0,0.0,38.0,46.0,41.0
DEBRI2,15.0,34.0,0.0,10.0,10.0,0.0,24.0,85.0,0.0,50.0,52.0,42.0
insano,16.0,49.0,0.0,4.0,6.0,2.0,12.0,80.0,2.0,55.0,45.0,36.0
Skating_Is_Easy,17.0,34.0,0.0,3.0,3.0,0.0,11.0,85.0,3.0,27.0,36.0,33.0
this_door_is_a_bucket,22.0,25.0,0.0,9.0,9.0,0.0,28.0,90.0,0.0,24.0,17.0,31.0
Dr_Scarecrow,8.0,46.0,0.0,0.0,0.0,0.0,0.0,92.0,17.0,42.0,42.0,42.0
Home_Grown,15.0,27.0,0.0,0.0,35.0,0.0,17.0,82.0,20.0,41.0,48.0,32.0
Clean,12.0,62.0,0.0,0.0,12.0,0.0,6.0,100.0,0.0,33.0,27.0,47.0
Flow_Trash,20.0,20.0,0.0,8.0,40.0,0.0,0.0,88.0,25.0,33.0,42.0,42.0
Debris,18.0,32.0,0.0,0.0,25.0,0.0,5.0,79.0,13.0,39.0,50.0,29.0
Ultra,19.0,26.0,0.0,0.0,3.0,0.0,10.0,80.0,17.0,23.0,40.0,20.0
Boondoggle,21.0,21.0,0.0,9.0,9.0,0.0,12.0,90.0,10.0,54.0,34.0,41.0
pat_gallaher_first_video_part,25.0,12.0,0.0,0.0,22.0,0.0,10.0,89.0,6.0,37.0,17.0,31.0
MySkate,16.0,27.0,0.0,5.0,14.0,0.0,30.0,90.0,7.0,48.0,19.0,43.0
Large,10.0,35.0,0.0,10.0,6.0,0.0,29.0,79.0,3.0,48.0,28.0,31.0
