"","trick","count"
"1","ollie ",26
"2","sw bs crook",21
"3","sw tre flip",16
"4","fakie kickflip",15
"5","fs kickflip",12
"6","kickflip",11
"7","fs 5050",10
"8","sw bs 180",9
"9","sw fs shuv",9
"10","sw kickflip",9
"11","bs 5050",8
"12","sw fs nosegrind",8
"13","tre flip",8
"14","bs kickflip",6
"15","nollie to bs crook",6
"16","sw bs lipslide",6
"17","sw heelflip",6
"18","sw shuv",6
"19","fs bigspin",5
"20","pinch ollie",5
"21","sw bs crook to regular",5
"22","sw ollie",5
"23","bs crook",4
"24","fs 5050 to bs 180",4
"25","fs boardslide",4
"26","fs lipslide",4
"27","fs noseblunt",4
"28","fs tailslide to fakie",4
"29","halfcab to bs crook",4
"30","kickflip to bs 5050",4
"31","nollie kickflip",4
"32","sw bs boardslide",4
"33","sw fs tailslide",4
"34","fakie kickflip to sw bs 5050",3
"35","kickflip to fs 5050 to bs 180",3
"36","nollie fs 180 to sw bs crook",3

