clip_index,trick_index,trick,flannel,switch,shorts w high socks,obstacle,obstacle_detailer,slowmo,line,bank,video,year
1,1,fs shuv,1,0,0,flat,,0,1,0,Authentic Hi,2020
1,2,fs kickflip,1,0,0,into bank,,0,1,1,Authentic Hi,2020
2,3,ollie,1,0,0,flat,up curb,0,1,0,Authentic Hi,2020
2,4,shuv it to pivot to shuv to fakie,1,0,0,ledge,transition,0,1,1,Authentic Hi,2020
3,5,bs noseblunt slide,0,0,0,ledge,into bank,0,0,1,Authentic Hi,2020
4,6,bs 180 to sw bs crook to regular,0,0,0,ledge,into bank,0,0,1,Authentic Hi,2020
5,7,bs bluntslide to kickflip to fakie,0,0,0,ledge,bank to ledge,0,0,1,Authentic Hi,2020
6,8,sw bs crook to kickflip,0,1,0,ledge,bank to ledge,0,0,1,Authentic Hi,2020
7,9,bs darkslide to fakie,0,0,0,ledge,bank to ledge,1,0,1,Authentic Hi,2020
8,10,sw heelflip,1,1,0,into bank,,0,0,1,Authentic Hi,2020
9,11,sw bs 180,1,1,0,into bank,hill bomb,0,0,1,Authentic Hi,2020
10,12,ollie,0,0,0,into bank,,0,1,1,Authentic Hi,2020
10,13,bs kickflip,0,0,0,into bank,,0,1,1,Authentic Hi,2020
11,14,bs noseslide to nollie kickflip,0,0,0,ledge,,0,1,0,Authentic Hi,2020
11,15,bs 180,0,0,0,flat,,0,1,0,Authentic Hi,2020
1,1,wallride ,0,0,0,wall,,0,0,1,DOUBLE A,2019
2,2,ride off hubba,0,0,0,drop,off hubba,0,0,1,DOUBLE A,2019
3,3,bs bigspin,0,0,0,into bank,,0,1,1,DOUBLE A,2019
3,4,sw bs crook to regular,0,1,0,ledge,bank to ledge,0,1,1,DOUBLE A,2019
4,4,sw bs crook to regular,0,1,0,ledge,bank to ledge,0,0,1,DOUBLE A,2019
5,5,rock and roll,1,0,0,wall,into bank,0,0,1,DOUBLE A,2019
6,6,sw ride off hubba,0,1,0,drop,off hubba,0,0,1,DOUBLE A,2019
7,6,sw ride off hubba,0,1,0,drop,off hubba,0,0,1,DOUBLE A,2019
8,7,ollie,0,0,0,gap,channel,0,1,1,DOUBLE A,2019
8,8,kickflip,0,0,0,gap,channel,0,1,1,DOUBLE A,2019
9,9,ollie,1,0,0,flat,up curb,0,1,0,DOUBLE A,2019
9,10,hippie jump,1,0,0,gap,bump to bar,0,1,1,DOUBLE A,2019
10,11,sw fs noseslide to shuv to regular,0,1,0,ledge,bank to ledge,0,0,1,DOUBLE A,2019
11,12,ride off hubba,0,0,0,drop,off hubba,0,0,1,DOUBLE A,2019
12,13,bs bluntslide to kickflip,0,0,0,ledge,into bank,0,0,1,DOUBLE A,2019
13,14,halfcab flip,0,0,0,into bank,,0,0,1,DOUBLE A,2019
14,15,halfcab heel,0,0,0,into bank,,0,0,1,DOUBLE A,2019
15,16,tail drop to kickflip,0,0,0,into bank,,0,0,1,DOUBLE A,2019
16,17,bs noseslide to yank ,0,0,0,ledge,into bank,0,0,1,DOUBLE A,2019
17,18,bs noseslide to nollie bs 180,0,0,0,ledge,into bank,0,0,1,DOUBLE A,2019
1,1,ollie,0,0,0,curb cut,,0,1,1,Boys of Summer Leftovers,2016
1,2,ollie,0,0,0,curb cut,over hydrant,0,1,1,Boys of Summer Leftovers,2016
1,3,fs kickflip,0,0,0,flat,gap,0,1,0,Boys of Summer Leftovers,2016
2,4,ollie,1,0,,flat,up curb,0,1,0,Boys of Summer Leftovers,2016
2,5,wallie,1,0,,wall,drop,0,1,0,Boys of Summer Leftovers,2016
3,6,5-0 to fakie,0,0,,transition,,0,1,1,Boys of Summer Leftovers,2016
3,7,sw fs crook to fakie,0,1,,transition,,0,1,1,Boys of Summer Leftovers,2016
4,8,bs kickflip ,0,0,,flat,up curb,0,1,1,Boys of Summer Leftovers,2016
4,9,sw tre,0,1,,curb cut,,0,1,1,Boys of Summer Leftovers,2016
