"trick","count"
"ollie",22
"kickflip",14
"bs crook",12
"fs air",12
"bs lipslide",10
"fs ollie",10
"bs smith",9
"fs 5050",9
"bs 5050",8
"fs grind",8
"fs nosegrind",8
"invert",8
"lien air",8
"bs air",7
"bs boardslide",7
"bs noseblunt",7
"fs boardslide",7
"fs noseblunt",7
"fs smith",7
"fs blunt",6
"fs kickflip",6
"bs 5-0",5
"fs 5-0",5
"fs feeble",5
"fs indie",5
"tre flip",5
"bs ollie",4
"bs tailslide",4
"bs wallride",4
"fakie ollie",4
"fs crook",4
"fs tailslide",4
"wallride",4
"bs 360",3
"bs blunt",3
"bs kickflip",3
"bs nosegrind",3
"fakie kickflip",3
"fs boneless",3
"fs invert",3
"kickflip to fakie",3
"melon",3
"method",3
"nose bonk",3
"shifty ollie",3
"boardslide",2
"bs disaster",2
"downhill",2
"fs 180",2
"fs blunt to fakie",2
"fs noseslide",2
"fs thruster",2
"handplant",2
"indie to fakie",2
"kickflip to bs lipslide",2
"kickflip to bs tailslide",2
"kickflip to bs wallride",2
"no comply",2
"nose manny",2
"nose pick",2
"nosepick",2
"portrait",2
"sad plant",2
"stale",2
"suicide 5050",2
"sw bs crook",2
"sw heelflip",2
"sw kickflip",2
"sw ollie",2
"sw tre flip",2
"tuckknee",2
"acid drop",1
"alley oop nollie",1
"andrecht",1
"bean plant",1
"beanplant",1
"bert",1
"bert slide",1
"bs 180 to nosegrind",1
"bs 5050 to suicide 5050",1
"bs 5050, bs 5-0",1
"bs bigspin",1
"bs carve",1
"bs crook to pop over",1
"bs crooked grind",1
"bs fastplant",1
"bs fastplant, bs ollie",1
"bs grind",1
"bs heelflip",1
"bs hurricane",1
"bs indie",1
"bs kicklip",1
"bs kickturn",1
"bs melon",1
"bs nosegrab",1
"bs noseslide",1
"bs shifty",1
"bs tail tap",1
"bs tailslide nose grab",1
"bs tuckknee",1
"carve",1
"casper stall",1
"crailslide",1
"driveway flyoff",1
"drop in",1
"eggplant",1
"fakie footplant ollie",1
"fakie fs 5050",1
"fakie fs boardslide",1
"fakie thrust",1
"fast plant",1
"fastplant",1
"fs 180 nosegrind",1
"fs 180 nosegrind to regular",1
"fs 180 to nosegrind",1
"fs 5050 to gap",1
"fs air over fs 5-0",1
"fs boardslide to fakie",1
"fs channel plant",1
"fs crailslide",1
"fs fastplant",1
"fs grind, bs air",1
"fs handplant",1
"fs hurricane",1
"fs kickflip, fs boardslide",1
"fs lip",1
"fs lipslide",1
"fs melon",1
"fs nose grind yank",1
"fs nosegrab",1
"fs roll in",1
"fs salad",1
"fs slash",1
"fs tail tap",1
"fs thrust",1
"fs tuckknee",1
"fs wallride",1
"g-turn",1
"gap to bs 5050",1
"gap to fs 5050",1
"gay twist",1
"half cab",1
"heelflip shuv it",1
"heelflip to fs noseslide",1
"hill bomb",1
"hippie jump",1
"hoverboard",1
"impossible",1
"indie",1
"judo air",1
"kickflip to bs 5050",1
"kickflip to bs noseslide",1
"kickflip to fs 5050",1
"kickflip to fs boardslide",1
"kickflip to fs lipslide",1
"kickflip to fs tailslide",1
"kickflip to lien air",1
"kickflip to mute",1
"kickflip to pivot to fakie",1
"layback tailslide",1
"luge",1
"melon to fakie",1
"method air",1
"mute to fakie",1
"nollie bs 180 to fakie 5-0",1
"nollie bs 270 to bs noseslide ",1
"nollie heelflip",1
"nollie kickflip",1
"nollie to fs noseblunt",1
"nose bonk tail grab",1
"nosegrind tailgrab",1
"ollie one foot",1
"ollie to fakie",1
"one foot nose manny",1
"one foot pogo",1
"pogo",1
"pole jam",1
"slashback",1
"slide drop in",1
"soty",1
"street slash",1
"sw 270 kickflip",1
"sw bs 5050",1
"sw bs lipslide",1
"sw bs noseblunt",1
"sw bs smith",1
"sw bs tailslide",1
"sw bs wallride",1
"sw crail",1
"sw fs 5-0",1
"sw fs crook",1
"sw fs heellip",1
"sw fs kickflip",1
"sw fs lipslide",1
"sw fs smith",1
"sw fs tailslide",1
"sw kickflip to bs noseblunt",1
"sw kickflip to sw bs 5050",1
"sw suicide 5-0",1
"sweeper",1
"tailgrab",1
"tailgrab to fakie",1
"thrust",1
"thruster",1
"tic-tac",1
"transfer",1
"tre flip to fakie",1
"wallride indie",1
"wallwalk",1
