"obstacle","year","cnt"
"flat",1981,1
"flat",1982,4
"flat",1983,1
"flat",1984,1
"flat",1985,0
"flat",1986,2
"flat",1987,0
"flat",1988,1
"flat",1989,2
"flat",1990,2
"flat",1991,3
"flat",1992,0
"flat",2021,1
"gap",1982,1
"gap",1983,1
"gap",1984,2
"gap",1985,2
"gap",1986,1
"gap",1990,1
"gap",1991,1
"gap",1992,5
"gap",1993,3
"gap",1996,2
"gap",1997,3
"gap",1998,4
"gap",1999,3
"gap",2000,2
"gap",2001,1
"gap",2002,1
"gap",2005,2
"gap",2006,1
"gap",2007,2
"gap",2008,3
"gap",2009,4
"gap",2010,2
"gap",2011,2
"gap",2012,3
"gap",2013,2
"gap",2014,2
"gap",2015,2
"gap",2016,1
"gap",2017,3
"gap",2018,2
"gap",2019,4
"gap",2020,1
"gap",2021,2
"ledge",1987,1
"ledge",1990,1
"ledge",1991,1
"ledge",1992,4
"ledge",1993,3
"ledge",1994,2
"ledge",1995,4
"ledge",1996,1
"ledge",1997,5
"ledge",1998,2
"ledge",1999,1
"ledge",2000,1
"ledge",2001,3
"ledge",2002,1
"ledge",2003,1
"ledge",2004,3
"ledge",2005,2
"ledge",2008,1
"ledge",2009,3
"ledge",2010,1
"ledge",2011,2
"ledge",2012,2
"ledge",2014,3
"ledge",2015,3
"ledge",2016,1
"ledge",2017,1
"ledge",2018,3
"ledge",2020,3
"ledge",2021,2
"rail",1981,0
"rail",1988,0
"rail",1989,1
"rail",1990,2
"rail",1991,0
"rail",1992,2
"rail",1993,2
"rail",1994,0
"rail",1995,2
"rail",1996,3
"rail",1997,2
"rail",1998,1
"rail",1999,4
"rail",2000,5
"rail",2001,4
"rail",2002,5
"rail",2003,4
"rail",2004,3
"rail",2005,4
"rail",2006,8
"rail",2007,6
"rail",2008,3
"rail",2009,4
"rail",2010,7
"rail",2011,3
"rail",2012,4
"rail",2013,8
"rail",2014,3
"rail",2015,5
"rail",2016,5
"rail",2017,2
"rail",2018,6
"rail",2019,3
"rail",2020,5
"rail",2021,2
"stairs",1994,1
"stairs",1998,1
"stairs",2000,1
"stairs",2002,2
"stairs",2003,2
"stairs",2004,3
"stairs",2006,1
"stairs",2007,1
"stairs",2009,1
"stairs",2011,1
"stairs",2013,1
"stairs",2016,1
"stairs",2017,1
"stairs",2019,1
"transition",1981,8
"transition",1982,5
"transition",1983,9
"transition",1984,7
"transition",1985,6
"transition",1986,7
"transition",1987,7
"transition",1988,7
"transition",1989,4
"transition",1990,5
"transition",1991,5
"transition",1992,1
"transition",1993,1
"transition",1994,4
"transition",1995,2
"transition",1996,3
"transition",1997,1
"transition",1998,2
"transition",1999,4
"transition",2000,1
"transition",2001,3
"transition",2002,2
"transition",2003,6
"transition",2004,3
"transition",2005,3
"transition",2006,2
"transition",2007,4
"transition",2008,5
"transition",2009,1
"transition",2010,2
"transition",2011,4
"transition",2012,2
"transition",2013,5
"transition",2014,2
"transition",2015,3
"transition",2016,3
"transition",2017,4
"transition",2018,1
"transition",2019,3
"transition",2020,1
"transition",2021,4
"wall",1984,1
"wall",1989,2
"wall",1994,1
"wall",1995,1
"wall",2004,1
"wall",2005,1
"wall",2008,1
"wall",2015,1
"wall",2016,1
"wall",2017,1
"wall",2019,1
"wall",2020,1
