"obstacle","year","month","staircount","skater"
"rail",1988,"february","0",
"rail",1991,"february","0"
"rail",1992,"february","3","Eric Britton"
"rail",1993,"september","4","Karma Tsocheff"
"rail",1994,"february","0","Salman Agah"
"rail",1995,"january","10","Mike Conway"
"rail",1996,"february","0","Justin Strubing"
"rail",1997,"february","0","Scott Johnston"
"rail",1998,"may","7","Willy Santos"
"rail",1999,"february","16","Geoff Rowley"
"rail",2000,"july","18","Arto Saari"
"rail",2001,"august","13","Wes Lott"
"rail",2002,"april","13","Arto Saari"
"rail",2003,"march","13","Mark Appleyard"
"rail",2004,"may","18","Chris Dobstaff"
"rail",2005,"march","10","Paul Machnau"
"rail",2006,"october","17","Tommy Sandoval"
"rail",2007,"november","51","Steve Nesser"
"rail",2008,"february","14","David Gonzales"
"rail",2009,"december","12","Emmanuel Guzman"
"rail",2010,"december","17","James Hardy"
"rail",2011,"june","12","Figgy"
"rail",2012,"october","16","David Gonzales"
"rail",2013,"december","34","Dane Burman"
"rail",2015,"may","22","Jack Fardell"
"rail",2017,"september","24","Clive Dixon"
"rail",2018,"december","24","Zion Wright"
"rail",2019,"november","14","Felipe Nunes"
"rail",2020,"august","18","Nyjah Huston"
"rail",2021,"april","18","Jack o'Grady"
"rail",2022,"may","14","Mark Suciu"
