"obstacle","year","month","staircount","skater"
"stairs",1988,"february","0"
"stairs",1993,"january","0"
"stairs",1994,"november","9","Alan Peterson"
"stairs",1995,"june","0"
"stairs",1997,"june","0"
"stairs",1998,"february","8","Pat Duffy"
"stairs",1999,"june","0"
"stairs",2000,"september","13","Jim Greco"
"stairs",2002,"december","16","Andrew Reynolds"
"stairs",2003,"april","12","Bryan Herman"
"stairs",2004,"july","12","Ernie Torres"
"stairs",2006,"july","17","Nick Dompierre"
"stairs",2007,"december","10","Jake Duncombe"
"stairs",2008,"october","16","Billy Marks"
"stairs",2009,"june","20","Don Nguyen"
"stairs",2010,"february","16","Nick Trapasso"
"stairs",2011,"july","20","Jaws"
"stairs",2013,"august","15","Chris Pfanner"
"stairs",2014,"june","18","Taylor Kirby"
"stairs",2016,"march","25","Jaws"
"stairs",2017,"august","14","Ducky Kovacs"
"stairs",2019,"july","9","Wes Kremer"
"stairs",2020,"january","0","Figgy"
"stairs",2021,"february","0","Carlos Ribeiro"
