"year","obstacle","cnt"
1981,"transition",8
1982,"transition",5
1983,"transition",9
1984,"transition",7
1985,"transition",6
1986,"transition",6
1987,"transition",5
1988,"transition",7
1989,"transition",4
1990,"transition",5
1991,"transition",5
1992,"gap",5
1993,"gap/ledge",3
1994,"transition",4
1995,"ledge",4
1996,"rail/transition",3
1997,"ledge",5
1998,"gap",4
1999,"rail/transition",4
1999,"transition",4
2000,"rail",5
2001,"ledge/rail/transition",3
2002,"rail",4
2003,"transition",5
2004,"ledge/rail/transition",3
2005,"rail",4
2006,"rail",7
2007,"rail",6
2008,"transition",4
2009,"gap, ledge,rail",3
2010,"rail",7
2011,"transition",4
2012,"rail",4
2013,"rail",8
2014,"ledge,rail",3
2015,"rail",5
2016,"rail",5
2017,"transition",4
2018,"rail",6
2019,"gap",4
2020,"rail",5
2021,"transition",4
